읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 우상호,국민의힘 김진태,계,무효 투표수,기권자수
합계,,36525,34374,20986,12881,33867,507,2151
관외사전투표,,3519,3516,2283,1199,3482,34,3
주문진읍,계,2079,2077,1186,854,2040,37,2
주문진읍,관내사전투표,2079,2077,1186,854,2040,37,2
성산면,계,2824,1860,780,1045,1825,35,964
성산면,관내사전투표,581,581,315,252,567,14,0
성산면,선거일투표,2243,1279,465,793,1258,21,964
왕산면,계,200,200,111,87,198,2,0
왕산면,관내사전투표,200,200,111,87,198,2,0
구정면,계,759,758,461,290,751,7,1
구정면,관내사전투표,759,758,461,290,751,7,1
강동면,계,3324,2156,748,1362,2110,46,1168
강동면,관내사전투표,780,780,351,397,748,32,0
강동면,선거일투표,2544,1376,397,965,1362,14,1168
옥계면,계,723,723,348,350,698,25,0
옥계면,관내사전투표,723,723,348,350,698,25,0
사천면,계,1150,1150,653,424,1077,73,0
사천면,관내사전투표,1150,1150,653,424,1077,73,0
연곡면,계,1615,1615,961,630,1591,24,0
연곡면,관내사전투표,1615,1615,961,630,1591,24,0
홍제동,계,1658,1658,1116,525,1641,17,0
홍제동,관내사전투표,1658,1658,1116,525,1641,17,0
중앙동,계,789,788,474,306,780,8,1
중앙동,관내사전투표,789,788,474,306,780,8,1
옥천동,계,654,653,363,282,645,8,1
옥천동,관내사전투표,654,653,363,282,645,8,1
교1동,계,3745,3743,2601,1106,3707,36,2
교1동,관내사전투표,3745,3743,2601,1106,3707,36,2
교2동,계,1389,1389,914,464,1378,11,0
교2동,관내사전투표,1389,1389,914,464,1378,11,0
포남1동,계,1404,1404,819,563,1382,22,0
포남1동,관내사전투표,1404,1404,819,563,1382,22,0
초당동,계,878,878,580,291,871,7,0
초당동,관내사전투표,878,878,580,291,871,7,0
송정동,계,1661,1659,1135,504,1639,20,2
송정동,관내사전투표,1661,1659,1135,504,1639,20,2
내곡동,계,2305,2303,1599,688,2287,16,2
내곡동,관내사전투표,2305,2303,1599,688,2287,16,2
강남동,계,2215,2213,1290,887,2177,36,2
강남동,관내사전투표,2215,2213,1290,887,2177,36,2
성덕동,계,3634,3631,2564,1024,3588,43,3
성덕동,관내사전투표,3634,3631,2564,1024,3588,43,3
