읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 우상호,국민의힘 김진태,계,무효 투표수,기권자수
합계,,24280,16986,8331,8317,16648,338,7294
거소투표,,106,101,41,54,95,6,5
영랑동,계,4242,2826,1300,1469,2769,57,1416
영랑동,관내사전투표,1206,1204,726,458,1184,20,2
영랑동,선거일투표,3036,1622,574,1011,1585,37,1414
동명동,계,3909,2264,1081,1156,2237,27,1645
동명동,관내사전투표,793,792,477,304,781,11,1
동명동,선거일투표,3116,1472,604,852,1456,16,1644
금호동,계,4700,2985,1212,1711,2923,62,1715
금호동,관내사전투표,1162,1161,646,481,1127,34,1
금호동,선거일투표,3538,1824,566,1230,1796,28,1714
교동,계,1526,1525,938,566,1504,21,1
교동,관내사전투표,1526,1525,938,566,1504,21,1
노학동,계,3283,3279,2028,1189,3217,62,4
노학동,관내사전투표,3283,3279,2028,1189,3217,62,4
청호동,계,3998,2350,1038,1245,2283,67,1648
청호동,관내사전투표,929,921,541,364,905,16,8
청호동,선거일투표,3069,1429,497,881,1378,51,1640
대포동,계,2516,1656,693,927,1620,36,860
대포동,관내사전투표,506,506,319,180,499,7,0
대포동,선거일투표,2010,1150,374,747,1121,29,860
