읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 우상호,국민의힘 김진태,계,무효 투표수,기권자수
합계,,8552,8545,5536,2827,8363,182,7
관외사전투표,,943,940,574,352,926,14,3
철원읍,계,1297,1293,812,436,1248,45,4
철원읍,관내사전투표,1297,1293,812,436,1248,45,4
김화읍,계,605,605,373,217,590,15,0
김화읍,관내사전투표,605,605,373,217,590,15,0
갈말읍,계,2084,2084,1416,643,2059,25,0
갈말읍,관내사전투표,2084,2084,1416,643,2059,25,0
동송읍,계,2114,2114,1373,697,2070,44,0
동송읍,관내사전투표,2114,2114,1373,697,2070,44,0
서면,계,1124,1124,752,348,1100,24,0
서면,관내사전투표,1124,1124,752,348,1100,24,0
근남면,계,339,339,206,118,324,15,0
근남면,관내사전투표,339,339,206,118,324,15,0
근북면,계,46,46,30,16,46,0,0
근북면,관내사전투표,46,46,30,16,46,0,0
