읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 우상호,국민의힘 김진태,계,무효 투표수,기권자수
합계,,218591,140736,77278,61863,139141,1595,77855
거소투표,,579,548,229,267,496,52,31
관외사전투표,,24229,24207,16875,7025,23900,307,22
신북읍,계,6139,3875,1772,2023,3795,80,2264
신북읍,관내사전투표,1231,1231,792,410,1202,29,0
신북읍,선거일투표,4908,2644,980,1613,2593,51,2264
동면,계,13013,7821,4066,3688,7754,67,5192
동면,관내사전투표,1577,1574,1104,462,1566,8,3
동면,선거일투표,11436,6247,2962,3226,6188,59,5189
동산면,계,1174,741,256,473,729,12,433
동산면,관내사전투표,202,202,117,79,196,6,0
동산면,선거일투표,972,539,139,394,533,6,433
신동면,계,2271,1516,661,837,1498,18,755
신동면,관내사전투표,626,625,380,234,614,11,1
신동면,선거일투표,1645,891,281,603,884,7,754
동내면,계,17406,10353,5165,5093,10258,95,7053
동내면,관내사전투표,2646,2645,1719,907,2626,19,1
동내면,선거일투표,14760,7708,3446,4186,7632,76,7052
남면,계,867,528,172,345,517,11,339
남면,관내사전투표,162,162,72,87,159,3,0
남면,선거일투표,705,366,100,258,358,8,339
남산면,계,2828,1681,664,998,1662,19,1147
남산면,관내사전투표,445,445,283,157,440,5,0
남산면,선거일투표,2383,1236,381,841,1222,14,1147
서면,계,3083,1890,746,1123,1869,21,1193
서면,관내사전투표,535,535,323,204,527,8,0
서면,선거일투표,2548,1355,423,919,1342,13,1193
사북면,계,1879,1222,479,716,1195,27,657
사북면,관내사전투표,226,226,139,82,221,5,0
사북면,선거일투표,1653,996,340,634,974,22,657
북산면,계,765,523,172,335,507,16,242
북산면,관내사전투표,171,171,86,76,162,9,0
북산면,선거일투표,594,352,86,259,345,7,242
소양동,계,8147,5122,3122,1943,5065,57,3025
소양동,관내사전투표,2123,2119,1603,493,2096,23,4
소양동,선거일투표,6024,3003,1519,1450,2969,34,3021
교동,계,3623,1921,877,1016,1893,28,1702
교동,관내사전투표,688,687,438,240,678,9,1
교동,선거일투표,2935,1234,439,776,1215,19,1701
조운동,계,2302,1281,634,634,1268,13,1021
조운동,관내사전투표,580,579,391,184,575,4,1
조운동,선거일투표,1722,702,243,450,693,9,1020
약사명동,계,3688,2247,1174,1053,2227,20,1441
약사명동,관내사전투표,792,792,497,290,787,5,0
약사명동,선거일투표,2896,1455,677,763,1440,15,1441
근화동,계,6333,3354,1754,1567,3321,33,2979
근화동,관내사전투표,918,918,602,306,908,10,0
근화동,선거일투표,5415,2436,1152,1261,2413,23,2979
후평1동,계,9407,5168,2430,2657,5087,81,4239
후평1동,관내사전투표,1845,1843,1175,645,1820,23,2
후평1동,선거일투표,7562,3325,1255,2012,3267,58,4237
후평2동,계,10540,6188,3246,2876,6122,66,4352
후평2동,관내사전투표,2258,2258,1572,655,2227,31,0
후평2동,선거일투표,8282,3930,1674,2221,3895,35,4352
후평3동,계,15110,8917,4691,4158,8849,68,6193
후평3동,관내사전투표,2953,2949,1967,961,2928,21,4
후평3동,선거일투표,12157,5968,2724,3197,5921,47,6189
효자1동,계,3482,2256,1181,1056,2237,19,1226
효자1동,관내사전투표,1048,1047,698,338,1036,11,1
효자1동,선거일투표,2434,1209,483,718,1201,8,1225
효자2동,계,10453,5052,2238,2703,4941,111,5401
효자2동,관내사전투표,1141,1140,726,388,1114,26,1
효자2동,선거일투표,9312,3912,1512,2315,3827,85,5400
효자3동,계,3723,1896,889,975,1864,32,1827
효자3동,관내사전투표,654,654,409,235,644,10,0
효자3동,선거일투표,3069,1242,480,740,1220,22,1827
석사동,계,25053,14677,7728,6811,14539,138,10376
석사동,관내사전투표,3241,3239,2287,919,3206,33,2
석사동,선거일투표,21812,11438,5441,5892,11333,105,10374
퇴계동,계,4782,4778,3495,1253,4748,30,4
퇴계동,관내사전투표,4782,4778,3495,1253,4748,30,4
강남동,계,19133,11912,6482,5345,11827,85,7221
강남동,관내사전투표,3554,3553,2415,1110,3525,28,1
강남동,선거일투표,15579,8359,4067,4235,8302,57,7220
신사우동,계,18582,11062,6080,4893,10973,89,7520
신사우동,관내사전투표,3633,3633,2625,989,3614,19,0
신사우동,선거일투표,14949,7429,3455,3904,7359,70,7520
