읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 우상호,국민의힘 김진태,계,무효 투표수,기권자수
합계,,25359,17805,8624,8799,17423,382,7554
관외사전투표,,1043,1043,635,393,1028,15,0
황지동,계,1791,1790,1076,681,1757,33,1
황지동,관내사전투표,1791,1790,1076,681,1757,33,1
황연동,계,3428,2342,990,1301,2291,51,1086
황연동,관내사전투표,1022,1022,537,462,999,23,0
황연동,선거일투표,2406,1320,453,839,1292,28,1086
삼수동,계,3719,2255,982,1207,2189,66,1464
삼수동,관내사전투표,796,796,424,342,766,30,0
삼수동,선거일투표,2923,1459,558,865,1423,36,1464
상장동,계,8317,5268,2817,2373,5190,78,3049
상장동,관내사전투표,2049,2047,1285,723,2008,39,2
상장동,선거일투표,6268,3221,1532,1650,3182,39,3047
문곡소도동,계,2720,1799,799,964,1763,36,921
문곡소도동,관내사전투표,648,648,368,271,639,9,0
문곡소도동,선거일투표,2072,1151,431,693,1124,27,921
장성동,계,1075,1075,539,487,1026,49,0
장성동,관내사전투표,1075,1075,539,487,1026,49,0
구문소동,계,1767,1206,428,752,1180,26,561
구문소동,관내사전투표,505,505,233,259,492,13,0
구문소동,선거일투표,1262,701,195,493,688,13,561
철암동,계,1499,1027,358,641,999,28,472
철암동,관내사전투표,481,480,199,265,464,16,1
철암동,선거일투표,1018,547,159,376,535,12,471
