읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 우상호,국민의힘 김진태,계,무효 투표수,기권자수
합계,,19441,14942,7766,6915,14681,261,4499
거소투표,,80,78,31,37,68,10,2
평창읍,계,2229,2229,1383,814,2197,32,0
평창읍,관내사전투표,2229,2229,1383,814,2197,32,0
미탄면,계,1351,1037,463,557,1020,17,314
미탄면,관내사전투표,454,454,254,192,446,8,0
미탄면,선거일투표,897,583,209,365,574,9,314
방림면,계,528,527,332,186,518,9,1
방림면,관내사전투표,528,527,332,186,518,9,1
대화면,계,4241,2901,1392,1442,2834,67,1340
대화면,관내사전투표,1188,1188,700,452,1152,36,0
대화면,선거일투표,3053,1713,692,990,1682,31,1340
봉평면,계,1243,1242,751,456,1207,35,1
봉평면,관내사전투표,1243,1242,751,456,1207,35,1
용평면,계,2526,1769,757,989,1746,23,757
용평면,관내사전투표,561,560,338,217,555,5,1
용평면,선거일투표,1965,1209,419,772,1191,18,756
진부면,계,2270,2270,1392,846,2238,32,0
진부면,관내사전투표,2270,2270,1392,846,2238,32,0
대관령면,계,4973,2889,1265,1588,2853,36,2084
대관령면,관내사전투표,1338,1338,731,591,1322,16,0
대관령면,선거일투표,3635,1551,534,997,1531,20,2084
