읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 우상호,국민의힘 김진태,계,무효 투표수,기권자수
합계,,55405,35408,15721,19024,34745,663,19997
홍천읍,계,26356,16124,7763,8086,15849,275,10232
홍천읍,관내사전투표,4927,4923,2952,1872,4824,99,4
홍천읍,선거일투표,21429,11201,4811,6214,11025,176,10228
화촌면,계,3578,2340,986,1312,2298,42,1238
화촌면,관내사전투표,748,748,401,325,726,22,0
화촌면,선거일투표,2830,1592,585,987,1572,20,1238
두촌면,계,2067,1385,486,853,1339,46,682
두촌면,관내사전투표,547,547,231,296,527,20,0
두촌면,선거일투표,1520,838,255,557,812,26,682
내촌면,계,2084,1420,538,853,1391,29,664
내촌면,관내사전투표,502,502,252,237,489,13,0
내촌면,선거일투표,1582,918,286,616,902,16,664
서석면,계,3201,2248,971,1229,2200,48,953
서석면,관내사전투표,792,792,457,315,772,20,0
서석면,선거일투표,2409,1456,514,914,1428,28,953
영귀미면,계,3554,2396,1074,1268,2342,54,1158
영귀미면,관내사전투표,886,886,511,358,869,17,0
영귀미면,선거일투표,2668,1510,563,910,1473,37,1158
남면,계,4745,2877,1196,1619,2815,62,1868
남면,관내사전투표,1050,1049,557,463,1020,29,1
남면,선거일투표,3695,1828,639,1156,1795,33,1867
서면,계,3270,1941,689,1213,1902,39,1329
서면,관내사전투표,586,585,310,263,573,12,1
서면,선거일투표,2684,1356,379,950,1329,27,1328
북방면,계,4079,2903,1279,1587,2866,37,1176
북방면,관내사전투표,1365,1363,769,574,1343,20,2
북방면,선거일투표,2714,1540,510,1013,1523,17,1174
내면,계,2471,1774,739,1004,1743,31,697
내면,관내사전투표,570,570,315,246,561,9,0
내면,선거일투표,1901,1204,424,758,1182,22,697
