읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,99617,65072,38526,22638,2666,357,221,64408,664,34545
일산1동,계,9648,6594,4107,2111,217,49,22,6506,88,3054
일산1동,관내사전투표,3860,3860,2808,864,123,25,7,3827,33,0
일산1동,선거일투표,5788,2734,1299,1247,94,24,15,2679,55,3054
일산3동,계,17101,11133,6451,4007,489,71,24,11042,91,5968
일산3동,관내사전투표,4211,4210,3133,874,155,20,5,4187,23,1
일산3동,선거일투표,12890,6923,3318,3133,334,51,19,6855,68,5967
탄현1동,계,13310,8653,5254,2906,324,44,32,8560,93,4657
탄현1동,관내사전투표,3878,3878,2853,825,118,22,11,3829,49,0
탄현1동,선거일투표,9432,4775,2401,2081,206,22,21,4731,44,4657
탄현2동,계,6143,4518,2984,1268,175,21,15,4463,55,1625
탄현2동,관내사전투표,3062,3061,2294,594,112,16,7,3023,38,1
탄현2동,선거일투표,3081,1457,690,674,63,5,8,1440,17,1624
주엽1동,계,8427,6172,3770,1990,299,30,24,6113,59,2255
주엽1동,관내사전투표,3565,3564,2569,788,154,17,9,3537,27,1
주엽1동,선거일투표,4862,2608,1201,1202,145,13,15,2576,32,2254
주엽2동,계,14382,8992,4844,3513,431,57,36,8881,111,5390
주엽2동,관내사전투표,3075,3075,2205,672,158,14,6,3055,20,0
주엽2동,선거일투표,11307,5917,2639,2841,273,43,30,5826,91,5390
대화동,계,9423,6099,3758,1982,260,22,20,6042,57,3324
대화동,관내사전투표,2959,2959,2177,631,110,10,6,2934,25,0
대화동,선거일투표,6464,3140,1581,1351,150,12,14,3108,32,3324
송포동,계,9753,6211,3389,2480,254,20,13,6156,55,3542
송포동,관내사전투표,2694,2694,1973,607,88,7,6,2681,13,0
송포동,선거일투표,7059,3517,1416,1873,166,13,7,3475,42,3542
덕이동,계,6013,2598,1370,1088,78,20,18,2574,24,3415
덕이동,선거일투표,6013,2598,1370,1088,78,20,18,2574,24,3415
가좌동,계,5417,4102,2599,1293,139,23,17,4071,31,1315
가좌동,관내사전투표,2858,2858,2077,635,96,13,12,2833,25,0
가좌동,선거일투표,2559,1244,522,658,43,10,5,1238,6,1315
