읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,48305,25269,11830,11732,972,152,149,24835,434,23036
광명3동,계,1946,846,379,400,26,3,8,816,30,1100
광명3동,선거일투표,1946,846,379,400,26,3,8,816,30,1100
광명5동,계,3715,1799,837,843,61,8,19,1768,31,1916
광명5동,선거일투표,3715,1799,837,843,61,8,19,1768,31,1916
광명6동,계,2385,1312,624,609,46,6,2,1287,25,1073
광명6동,선거일투표,2385,1312,624,609,46,6,2,1287,25,1073
광명7동,계,6064,2980,1339,1416,138,16,17,2926,54,3084
광명7동,선거일투표,6064,2980,1339,1416,138,16,17,2926,54,3084
철산2동,계,3306,1906,828,945,85,14,16,1888,18,1400
철산2동,선거일투표,3306,1906,828,945,85,14,16,1888,18,1400
철산3동,계,2369,1406,583,730,65,6,4,1388,18,963
철산3동,선거일투표,2369,1406,583,730,65,6,4,1388,18,963
철산4동,계,3366,1989,931,921,90,12,10,1964,25,1377
철산4동,선거일투표,3366,1989,931,921,90,12,10,1964,25,1377
하안1동,계,4624,2655,1298,1190,107,21,13,2629,26,1969
하안1동,선거일투표,4624,2655,1298,1190,107,21,13,2629,26,1969
하안2동,계,3632,1688,774,784,63,18,12,1651,37,1944
하안2동,선거일투표,3632,1688,774,784,63,18,12,1651,37,1944
하안4동,계,4747,2496,1199,1139,91,12,10,2451,45,2251
하안4동,선거일투표,4747,2496,1199,1139,91,12,10,2451,45,2251
소하1동,계,4764,2601,1304,1130,102,12,19,2567,34,2163
소하1동,선거일투표,4764,2601,1304,1130,102,12,19,2567,34,2163
소하2동,계,7387,3591,1734,1625,98,24,19,3500,91,3796
소하2동,선거일투표,7387,3591,1734,1625,98,24,19,3500,91,3796
