읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,13673,5865,2613,2892,152,37,57,5751,114,7808
남종면,계,194,122,31,86,2,0,0,119,3,72
남종면,선거일투표,194,122,31,86,2,0,0,119,3,72
남한산성면,계,319,319,202,100,12,1,1,316,3,0
남한산성면,관내사전투표,319,319,202,100,12,1,1,316,3,0
경안동,계,2184,785,249,473,12,10,15,759,26,1399
경안동,선거일투표,2184,785,249,473,12,10,15,759,26,1399
송정동,계,4135,1630,802,735,41,10,17,1605,25,2505
송정동,선거일투표,4135,1630,802,735,41,10,17,1605,25,2505
탄벌동,계,2956,1604,678,820,50,9,13,1570,34,1352
탄벌동,선거일투표,2956,1604,678,820,50,9,13,1570,34,1352
광남1동,계,3885,1405,651,678,35,7,11,1382,23,2480
광남1동,선거일투표,3885,1405,651,678,35,7,11,1382,23,2480
