읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,108568,63647,33120,26293,2547,304,410,62674,973,44921
거소투표,,140,136,64,65,0,0,0,129,7,4
갈매동,계,19426,12078,7043,4266,503,49,92,11953,125,7348
갈매동,관내사전투표,5058,5057,3698,1069,209,22,19,5017,40,1
갈매동,선거일투표,14368,7021,3345,3197,294,27,73,6936,85,7347
동구동,계,10440,7768,4705,2572,325,37,32,7671,97,2672
동구동,관내사전투표,4257,4254,3072,948,166,21,10,4217,37,3
동구동,선거일투표,6183,3514,1633,1624,159,16,22,3454,60,2669
인창동,계,17289,8860,4135,4093,362,54,59,8703,157,8429
인창동,선거일투표,17289,8860,4135,4093,362,54,59,8703,157,8429
교문1동,계,11219,5650,2750,2557,175,22,37,5541,109,5569
교문1동,관내사전투표,1453,1453,964,411,52,5,8,1440,13,0
교문1동,선거일투표,9766,4197,1786,2146,123,17,29,4101,96,5569
교문2동,계,15866,9990,4717,4549,478,51,47,9842,148,5876
교문2동,관내사전투표,2201,2201,1503,565,108,5,4,2185,16,0
교문2동,선거일투표,13665,7789,3214,3984,370,46,43,7657,132,5876
수택1동,계,11643,6849,3591,2812,255,29,47,6734,115,4794
수택1동,관내사전투표,2360,2360,1595,628,83,8,15,2329,31,0
수택1동,선거일투표,9283,4489,1996,2184,172,21,32,4405,84,4794
수택2동,계,11710,6906,3706,2739,223,42,60,6770,136,4804
수택2동,관내사전투표,2759,2759,1854,745,80,16,17,2712,47,0
수택2동,선거일투표,8951,4147,1852,1994,143,26,43,4058,89,4804
수택3동,계,10835,5410,2409,2640,226,20,36,5331,79,5425
수택3동,선거일투표,10835,5410,2409,2640,226,20,36,5331,79,5425
