읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,96097,74606,49117,21400,2509,379,361,73766,840,21491
거소투표,,378,360,154,150,24,6,3,337,23,18
관외사전투표,,5353,5352,3317,1672,227,33,32,5281,71,1
통진읍,계,7338,5497,3582,1627,124,39,35,5407,90,1841
통진읍,관내사전투표,4233,4233,3009,1027,103,27,21,4187,46,0
통진읍,선거일투표,3105,1264,573,600,21,12,14,1220,44,1841
고촌읍,계,6667,6099,4045,1732,206,37,24,6044,55,568
고촌읍,관내사전투표,5482,5482,3893,1303,182,36,21,5435,47,0
고촌읍,선거일투표,1185,617,152,429,24,1,3,609,8,568
양촌읍,계,6542,5067,3085,1694,154,30,36,4999,68,1475
양촌읍,관내사전투표,3716,3716,2617,911,108,19,22,3677,39,0
양촌읍,선거일투표,2826,1351,468,783,46,11,14,1322,29,1475
대곶면,계,2108,1531,788,643,51,6,9,1497,34,577
대곶면,관내사전투표,1055,1054,630,361,33,3,2,1029,25,1
대곶면,선거일투표,1053,477,158,282,18,3,7,468,9,576
월곶면,계,1030,1029,569,373,39,7,9,997,32,1
월곶면,관내사전투표,1030,1029,569,373,39,7,9,997,32,1
하성면,계,2226,1756,937,711,59,9,11,1727,29,470
하성면,관내사전투표,1293,1293,765,452,41,7,9,1274,19,0
하성면,선거일투표,933,463,172,259,18,2,2,453,10,470
김포본동,계,9043,6902,4236,2267,246,38,39,6826,76,2141
김포본동,관내사전투표,4216,4216,3004,997,136,19,22,4178,38,0
김포본동,선거일투표,4827,2686,1232,1270,110,19,17,2648,38,2141
장기본동,계,7577,5330,3608,1456,189,22,15,5290,40,2247
장기본동,관내사전투표,4290,4290,3162,931,146,18,9,4266,24,0
장기본동,선거일투표,3287,1040,446,525,43,4,6,1024,16,2247
사우동,계,6943,4656,2930,1456,151,28,31,4596,60,2287
사우동,관내사전투표,3455,3455,2428,847,107,19,17,3418,37,0
사우동,선거일투표,3488,1201,502,609,44,9,14,1178,23,2287
풍무동,계,5756,5755,4312,1179,167,32,14,5704,51,1
풍무동,관내사전투표,5756,5755,4312,1179,167,32,14,5704,51,1
장기동,계,12220,8713,5693,2584,294,31,35,8637,76,3507
장기동,관내사전투표,4485,4485,3384,895,143,15,20,4457,28,0
장기동,선거일투표,7735,4228,2309,1689,151,16,15,4180,48,3507
구래동,계,13862,7505,4952,2121,283,27,42,7425,80,6357
구래동,관내사전투표,4733,4730,3575,918,165,15,18,4691,39,3
구래동,선거일투표,9129,2775,1377,1203,118,12,24,2734,41,6354
마산동,계,3587,3587,2764,687,86,13,8,3558,29,0
마산동,관내사전투표,3587,3587,2764,687,86,13,8,3558,29,0
운양동,계,5467,5467,4145,1048,209,21,18,5441,26,0
운양동,관내사전투표,5467,5467,4145,1048,209,21,18,5441,26,0
