읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,60712,29578,13340,13564,1829,159,179,29071,507,31134
와부읍,계,6746,3600,1558,1742,187,23,23,3533,67,3146
와부읍,선거일투표,6746,3600,1558,1742,187,23,23,3533,67,3146
화도읍,계,5294,2089,986,876,167,7,9,2045,44,3205
화도읍,선거일투표,5294,2089,986,876,167,7,9,2045,44,3205
진건읍,계,6119,2884,1260,1412,112,18,31,2833,51,3235
진건읍,선거일투표,6119,2884,1260,1412,112,18,31,2833,51,3235
퇴계원읍,계,3539,1537,738,684,60,14,11,1507,30,2002
퇴계원읍,선거일투표,3539,1537,738,684,60,14,11,1507,30,2002
조안면,계,2520,1216,364,741,61,8,10,1184,32,1304
조안면,선거일투표,2520,1216,364,741,61,8,10,1184,32,1304
호평동,계,2559,1267,646,451,140,5,6,1248,19,1292
호평동,선거일투표,2559,1267,646,451,140,5,6,1248,19,1292
평내동,계,8467,4317,2266,1518,452,11,21,4268,49,4150
평내동,선거일투표,8467,4317,2266,1518,452,11,21,4268,49,4150
금곡동,계,8827,4213,1681,2137,239,30,24,4111,102,4614
금곡동,선거일투표,8827,4213,1681,2137,239,30,24,4111,102,4614
양정동,계,1516,688,200,429,35,2,3,669,19,828
양정동,선거일투표,1516,688,200,429,35,2,3,669,19,828
다산1동,계,12040,6153,2811,2890,298,37,34,6070,83,5887
다산1동,선거일투표,12040,6153,2811,2890,298,37,34,6070,83,5887
다산2동,계,3085,1614,830,684,78,4,7,1603,11,1471
다산2동,선거일투표,3085,1614,830,684,78,4,7,1603,11,1471
