읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,32319,14182,6747,6359,541,115,110,13872,310,18137
심곡본1동,계,5354,2049,962,910,71,29,24,1996,53,3305
심곡본1동,선거일투표,5354,2049,962,910,71,29,24,1996,53,3305
소사본동,계,6049,2288,1053,1040,93,25,23,2234,54,3761
소사본동,선거일투표,6049,2288,1053,1040,93,25,23,2234,54,3761
괴안동,계,5275,2269,982,1124,84,9,12,2211,58,3006
괴안동,선거일투표,5275,2269,982,1124,84,9,12,2211,58,3006
역곡3동,계,2396,1005,536,390,36,11,7,980,25,1391
역곡3동,선거일투표,2396,1005,536,390,36,11,7,980,25,1391
송내1동,계,6948,3928,1924,1737,175,19,21,3876,52,3020
송내1동,선거일투표,6948,3928,1924,1737,175,19,21,3876,52,3020
송내2동,계,2702,1094,529,476,38,14,11,1068,26,1608
송내2동,선거일투표,2702,1094,529,476,38,14,11,1068,26,1608
역곡1동,계,3595,1549,761,682,44,8,12,1507,42,2046
역곡1동,선거일투표,3595,1549,761,682,44,8,12,1507,42,2046
