읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,18690,9134,4339,4126,415,79,52,9011,123,9556
약대동,계,3682,1817,892,807,75,17,9,1800,17,1865
약대동,선거일투표,3682,1817,892,807,75,17,9,1800,17,1865
중3동,계,5480,2574,1203,1155,127,26,15,2526,48,2906
중3동,선거일투표,5480,2574,1203,1155,127,26,15,2526,48,2906
중4동,계,6500,3156,1431,1490,155,26,19,3121,35,3344
중4동,선거일투표,6500,3156,1431,1490,155,26,19,3121,35,3344
상1동,계,3028,1587,813,674,58,10,9,1564,23,1441
상1동,선거일투표,3028,1587,813,674,58,10,9,1564,23,1441
