읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,77064,50384,29852,17173,1805,413,297,49540,844,26680
관외사전투표,,3311,3309,2279,792,125,46,10,3252,57,2
신흥1동,계,4628,2940,1921,823,86,26,22,2878,62,1688
신흥1동,관내사전투표,1993,1992,1443,432,60,17,9,1961,31,1
신흥1동,선거일투표,2635,948,478,391,26,9,13,917,31,1687
신흥2동,계,1835,868,437,381,23,8,8,857,11,967
신흥2동,선거일투표,1835,868,437,381,23,8,8,857,11,967
신흥3동,계,4580,3337,2076,1036,124,32,23,3291,46,1243
신흥3동,관내사전투표,2606,2606,1753,686,94,24,16,2573,33,0
신흥3동,선거일투표,1974,731,323,350,30,8,7,718,13,1243
태평1동,계,2280,2280,1599,558,55,18,10,2240,40,0
태평1동,관내사전투표,2280,2280,1599,558,55,18,10,2240,40,0
태평2동,계,8055,4644,2717,1619,137,43,37,4553,91,3411
태평2동,관내사전투표,1673,1673,1218,360,47,16,7,1648,25,0
태평2동,선거일투표,6382,2971,1499,1259,90,27,30,2905,66,3411
태평3동,계,8635,5127,3045,1699,186,53,34,5017,110,3508
태평3동,관내사전투표,2356,2356,1692,501,83,29,14,2319,37,0
태평3동,선거일투표,6279,2771,1353,1198,103,24,20,2698,73,3508
태평4동,계,6554,3717,2203,1260,114,33,24,3634,83,2837
태평4동,관내사전투표,1794,1794,1269,417,59,14,8,1767,27,0
태평4동,선거일투표,4760,1923,934,843,55,19,16,1867,56,2837
수진1동,계,3877,1465,696,672,39,12,16,1435,30,2412
수진1동,선거일투표,3877,1465,696,672,39,12,16,1435,30,2412
수진2동,계,4687,3333,2147,990,94,28,15,3274,59,1354
수진2동,관내사전투표,2475,2475,1773,579,63,18,7,2440,35,0
수진2동,선거일투표,2212,858,374,411,31,10,8,834,24,1354
단대동,계,8742,5413,2950,2090,180,37,44,5301,112,3329
단대동,관내사전투표,1953,1951,1391,461,51,11,11,1925,26,2
단대동,선거일투표,6789,3462,1559,1629,129,26,33,3376,86,3327
산성동,계,1038,830,539,235,27,9,5,815,15,208
산성동,관내사전투표,708,707,484,177,25,6,4,696,11,1
산성동,선거일투표,330,123,55,58,2,3,1,119,4,207
양지동,계,1668,1668,1189,388,47,13,6,1643,25,0
양지동,관내사전투표,1668,1668,1189,388,47,13,6,1643,25,0
복정동,계,4513,2738,1679,882,110,16,19,2706,32,1775
복정동,관내사전투표,1667,1666,1201,366,61,11,9,1648,18,1
복정동,선거일투표,2846,1072,478,516,49,5,10,1058,14,1774
위례동,계,9653,5709,2403,2912,324,19,9,5667,42,3944
위례동,선거일투표,9653,5709,2403,2912,324,19,9,5667,42,3944
신촌동,계,498,498,316,143,30,3,3,495,3,0
신촌동,관내사전투표,498,498,316,143,30,3,3,495,3,0
고등동,계,2053,2051,1384,548,76,15,9,2032,19,2
고등동,관내사전투표,2053,2051,1384,548,76,15,9,2032,19,2
시흥동,계,457,457,272,145,28,2,3,450,7,0
시흥동,관내사전투표,457,457,272,145,28,2,3,450,7,0
