읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,29872,21740,13504,6805,701,252,129,21391,349,8132
중앙동,계,2340,2339,1604,576,69,40,15,2304,35,1
중앙동,관내사전투표,2340,2339,1604,576,69,40,15,2304,35,1
금광1동,계,6797,5051,3180,1529,201,51,25,4986,65,1746
금광1동,관내사전투표,3286,3286,2349,733,125,36,9,3252,34,0
금광1동,선거일투표,3511,1765,831,796,76,15,16,1734,31,1746
은행1동,계,1788,1788,1220,412,54,38,10,1734,54,0
은행1동,관내사전투표,1788,1788,1220,412,54,38,10,1734,54,0
은행2동,계,3155,3154,2246,740,63,49,14,3112,42,1
은행2동,관내사전투표,3155,3154,2246,740,63,49,14,3112,42,1
상대원1동,계,4469,3374,2247,924,100,32,26,3329,45,1095
상대원1동,관내사전투표,2681,2680,1923,606,82,25,24,2660,20,1
상대원1동,선거일투표,1788,694,324,318,18,7,2,669,25,1094
상대원2동,계,759,759,534,178,21,6,7,746,13,0
상대원2동,관내사전투표,759,759,534,178,21,6,7,746,13,0
하대원동,계,4261,1952,912,903,62,18,18,1913,39,2309
하대원동,선거일투표,4261,1952,912,903,62,18,18,1913,39,2309
도촌동,계,6303,3323,1561,1543,131,18,14,3267,56,2980
도촌동,선거일투표,6303,3323,1561,1543,131,18,14,3267,56,2980
