읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,48863,22681,9724,11248,987,175,95,22229,452,26182
파장동,계,5098,2130,929,1024,95,17,7,2072,58,2968
파장동,선거일투표,5098,2130,929,1024,95,17,7,2072,58,2968
정자1동,계,3422,2063,1113,799,114,10,4,2040,23,1359
정자1동,선거일투표,3422,2063,1113,799,114,10,4,2040,23,1359
정자2동,계,8408,3716,1634,1847,138,31,14,3664,52,4692
정자2동,선거일투표,8408,3716,1634,1847,138,31,14,3664,52,4692
정자3동,계,2148,1153,540,503,73,14,4,1134,19,995
정자3동,선거일투표,2148,1153,540,503,73,14,4,1134,19,995
영화동,계,2496,817,320,433,35,6,4,798,19,1679
영화동,선거일투표,2496,817,320,433,35,6,4,798,19,1679
송죽동,계,5402,2294,1026,1133,77,10,5,2251,43,3108
송죽동,선거일투표,5402,2294,1026,1133,77,10,5,2251,43,3108
조원1동,계,5352,2508,1040,1276,93,20,16,2445,63,2844
조원1동,선거일투표,5352,2508,1040,1276,93,20,16,2445,63,2844
조원2동,계,8371,4489,1841,2282,238,20,17,4398,91,3882
조원2동,선거일투표,8371,4489,1841,2282,238,20,17,4398,91,3882
연무동,계,8166,3511,1281,1951,124,47,24,3427,84,4655
연무동,선거일투표,8166,3511,1281,1951,124,47,24,3427,84,4655
