읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,64828,28270,12096,13995,1300,198,184,27773,497,36558
매교동,계,7476,4312,1977,2014,209,33,20,4253,59,3164
매교동,선거일투표,7476,4312,1977,2014,209,33,20,4253,59,3164
매산동,계,1606,569,253,276,20,3,5,557,12,1037
매산동,선거일투표,1606,569,253,276,20,3,5,557,12,1037
고등동,계,6368,2569,1120,1241,135,20,21,2537,32,3799
고등동,선거일투표,6368,2569,1120,1241,135,20,21,2537,32,3799
화서1동,계,6190,2440,1012,1256,103,13,18,2402,38,3750
화서1동,선거일투표,6190,2440,1012,1256,103,13,18,2402,38,3750
화서2동,계,7619,4350,1998,1997,232,33,31,4291,59,3269
화서2동,선거일투표,7619,4350,1998,1997,232,33,31,4291,59,3269
지동,계,6550,2778,1036,1510,113,22,24,2705,73,3772
지동,선거일투표,6550,2778,1036,1510,113,22,24,2705,73,3772
우만1동,계,5210,2101,945,1004,93,15,9,2066,35,3109
우만1동,선거일투표,5210,2101,945,1004,93,15,9,2066,35,3109
우만2동,계,4363,2236,959,1108,96,20,14,2197,39,2127
우만2동,선거일투표,4363,2236,959,1108,96,20,14,2197,39,2127
인계동,계,16754,5584,2239,2925,232,34,33,5463,121,11170
인계동,선거일투표,16754,5584,2239,2925,232,34,33,5463,121,11170
세류1동,계,2692,1331,557,664,67,5,9,1302,29,1361
세류1동,선거일투표,2692,1331,557,664,67,5,9,1302,29,1361
