읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,177962,83910,49855,28737,2917,584,522,82615,1295,94052
대야동,계,4638,2021,908,973,67,17,13,1978,43,2617
대야동,선거일투표,4638,2021,908,973,67,17,13,1978,43,2617
신천동,계,9060,5503,3494,1662,163,47,32,5398,105,3557
신천동,관내사전투표,2989,2989,2232,596,85,20,16,2949,40,0
신천동,선거일투표,6071,2514,1262,1066,78,27,16,2449,65,3557
신현동,계,7543,4118,2114,1739,112,29,32,4026,92,3425
신현동,관내사전투표,1431,1431,994,355,39,6,13,1407,24,0
신현동,선거일투표,6112,2687,1120,1384,73,23,19,2619,68,3425
은행동,계,10923,5571,3497,1770,176,41,30,5514,57,5352
은행동,선거일투표,10923,5571,3497,1770,176,41,30,5514,57,5352
매화동,계,7286,3866,2347,1291,91,41,18,3788,78,3420
매화동,관내사전투표,1720,1719,1270,383,32,14,5,1704,15,1
매화동,선거일투표,5566,2147,1077,908,59,27,13,2084,63,3419
목감동,계,11429,5537,3168,1992,232,38,27,5457,80,5892
목감동,선거일투표,11429,5537,3168,1992,232,38,27,5457,80,5892
군자동,계,3094,1220,683,443,40,10,11,1187,33,1874
군자동,선거일투표,3094,1220,683,443,40,10,11,1187,33,1874
월곶동,계,12272,5817,3437,2010,206,29,33,5715,102,6455
월곶동,관내사전투표,2267,2267,1718,430,68,15,12,2243,24,0
월곶동,선거일투표,10005,3550,1719,1580,138,14,21,3472,78,6455
정왕본동,계,6132,1100,586,437,39,6,11,1079,21,5032
정왕본동,선거일투표,6132,1100,586,437,39,6,11,1079,21,5032
정왕1동,계,9908,4047,2554,1188,166,33,32,3973,74,5861
정왕1동,관내사전투표,2070,2070,1590,358,68,18,13,2047,23,0
정왕1동,선거일투표,7838,1977,964,830,98,15,19,1926,51,5861
정왕2동,계,11659,6100,4012,1680,214,40,55,6001,99,5559
정왕2동,관내사전투표,3009,3009,2299,524,108,23,17,2971,38,0
정왕2동,선거일투표,8650,3091,1713,1156,106,17,38,3030,61,5559
정왕3동,계,4071,1359,730,534,46,7,13,1330,29,2712
정왕3동,선거일투표,4071,1359,730,534,46,7,13,1330,29,2712
정왕4동,계,11653,6526,4117,1979,248,53,36,6433,93,5127
정왕4동,관내사전투표,3051,3051,2307,558,115,23,12,3015,36,0
정왕4동,선거일투표,8602,3475,1810,1421,133,30,24,3418,57,5127
거북섬동,계,4295,1863,1296,457,71,12,8,1844,19,2432
거북섬동,관내사전투표,1277,1276,976,235,41,11,3,1266,10,1
거북섬동,선거일투표,3018,587,320,222,30,1,5,578,9,2431
배곧1동,계,12346,5481,3273,1863,228,28,32,5424,57,6865
배곧1동,선거일투표,12346,5481,3273,1863,228,28,32,5424,57,6865
배곧2동,계,10683,6213,4145,1707,228,29,40,6149,64,4470
배곧2동,관내사전투표,2958,2958,2296,518,102,7,16,2939,19,0
배곧2동,선거일투표,7725,3255,1849,1189,126,22,24,3210,45,4470
과림동,계,318,318,198,104,8,4,1,315,3,0
과림동,관내사전투표,318,318,198,104,8,4,1,315,3,0
연성동,계,5804,2662,1510,987,103,14,10,2624,38,3142
연성동,선거일투표,5804,2662,1510,987,103,14,10,2624,38,3142
능곡동,계,13787,5822,3015,2433,216,38,34,5736,86,7965
능곡동,선거일투표,13787,5822,3015,2433,216,38,34,5736,86,7965
장곡동,계,21061,8766,4771,3488,263,68,54,8644,122,12295
장곡동,선거일투표,21061,8766,4771,3488,263,68,54,8644,122,12295
