읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,15701,13998,7861,5183,454,103,95,13696,302,1703
보개면,계,1237,1237,714,415,46,6,12,1193,44,0
보개면,관내사전투표,1237,1237,714,415,46,6,12,1193,44,0
서운면,계,734,734,408,277,22,7,6,720,14,0
서운면,관내사전투표,734,734,408,277,22,7,6,720,14,0
미양면,계,1745,1283,639,551,41,10,11,1252,31,462
미양면,관내사전투표,795,795,475,263,30,7,6,781,14,0
미양면,선거일투표,950,488,164,288,11,3,5,471,17,462
대덕면,계,1596,1596,1053,453,55,15,6,1582,14,0
대덕면,관내사전투표,1596,1596,1053,453,55,15,6,1582,14,0
양성면,계,840,840,486,310,20,5,7,828,12,0
양성면,관내사전투표,840,840,486,310,20,5,7,828,12,0
원곡면,계,1477,1218,682,464,37,8,5,1196,22,259
원곡면,관내사전투표,952,952,594,307,27,5,4,937,15,0
원곡면,선거일투표,525,266,88,157,10,3,1,259,7,259
일죽면,계,1219,1219,630,515,33,6,8,1192,27,0
일죽면,관내사전투표,1219,1219,630,515,33,6,8,1192,27,0
죽산면,계,1606,1605,896,584,56,8,9,1553,52,1
죽산면,관내사전투표,1606,1605,896,584,56,8,9,1553,52,1
삼죽면,계,670,670,380,230,37,7,4,658,12,0
삼죽면,관내사전투표,670,670,380,230,37,7,4,658,12,0
고삼면,계,1311,957,485,403,23,9,9,929,28,354
고삼면,관내사전투표,541,541,341,150,19,7,3,520,21,0
고삼면,선거일투표,770,416,144,253,4,2,6,409,7,354
안성1동,계,2085,2085,1280,674,64,17,15,2050,35,0
안성1동,관내사전투표,2085,2085,1280,674,64,17,15,2050,35,0
안성3동,계,1181,554,208,307,20,5,3,543,11,627
안성3동,선거일투표,1181,554,208,307,20,5,3,543,11,627
