읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,24506,17008,9716,6157,783,85,83,16824,184,7498
비산1동,계,2253,1404,695,605,70,10,9,1389,15,849
비산1동,선거일투표,2253,1404,695,605,70,10,9,1389,15,849
부흥동,계,2793,2793,1906,708,131,12,13,2770,23,0
부흥동,관내사전투표,2793,2793,1906,708,131,12,13,2770,23,0
달안동,계,2363,1459,659,700,69,8,9,1445,14,904
달안동,선거일투표,2363,1459,659,700,69,8,9,1445,14,904
관양동,계,2512,1087,511,508,30,4,10,1063,24,1425
관양동,선거일투표,2512,1087,511,508,30,4,10,1063,24,1425
부림동,계,2673,1247,534,631,53,5,7,1230,17,1426
부림동,선거일투표,2673,1247,534,631,53,5,7,1230,17,1426
호계1동,계,3423,2059,956,937,119,11,10,2033,26,1364
호계1동,선거일투표,3423,2059,956,937,119,11,10,2033,26,1364
호계2동,계,6902,5372,3377,1652,238,28,24,5319,53,1530
호계2동,관내사전투표,3576,3575,2516,832,172,18,11,3549,26,1
호계2동,선거일투표,3326,1797,861,820,66,10,13,1770,27,1529
갈산동,계,1587,1587,1078,416,73,7,1,1575,12,0
갈산동,관내사전투표,1587,1587,1078,416,73,7,1,1575,12,0
