읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,122477,79682,45364,29349,2882,444,446,78485,1197,42795
거소투표,,225,211,83,95,13,2,2,195,16,14
관외사전투표,,6511,6511,4306,1747,282,38,39,6412,99,0
안양1동,계,8302,5600,3051,2153,277,26,25,5532,68,2702
안양1동,관내사전투표,3015,3015,2008,810,141,16,9,2984,31,0
안양1동,선거일투표,5287,2585,1043,1343,136,10,16,2548,37,2702
안양2동,계,8724,5434,3051,2053,189,28,29,5350,84,3290
안양2동,관내사전투표,2678,2677,1891,645,84,16,14,2650,27,1
안양2동,선거일투표,6046,2757,1160,1408,105,12,15,2700,57,3289
안양3동,계,9830,5892,3232,2291,202,35,40,5800,92,3938
안양3동,관내사전투표,2392,2392,1651,599,84,20,6,2360,32,0
안양3동,선거일투표,7438,3500,1581,1692,118,15,34,3440,60,3938
안양4동,계,4263,2584,1488,940,81,14,18,2541,43,1679
안양4동,관내사전투표,1525,1524,1057,384,48,11,10,1510,14,1
안양4동,선거일투표,2738,1060,431,556,33,3,8,1031,29,1678
안양5동,계,8587,4898,2585,2011,150,24,30,4800,98,3689
안양5동,관내사전투표,2143,2143,1462,571,57,11,15,2116,27,0
안양5동,선거일투표,6444,2755,1123,1440,93,13,15,2684,71,3689
안양6동,계,11241,6798,3960,2432,238,35,32,6697,101,4443
안양6동,관내사전투표,3229,3229,2294,764,103,12,17,3190,39,0
안양6동,선거일투표,8012,3569,1666,1668,135,23,15,3507,62,4443
안양7동,계,8310,5609,3127,2159,207,36,25,5554,55,2701
안양7동,관내사전투표,2659,2659,1838,687,91,15,11,2642,17,0
안양7동,선거일투표,5651,2950,1289,1472,116,21,14,2912,38,2701
안양8동,계,7173,3834,1947,1645,131,26,34,3783,51,3339
안양8동,관내사전투표,1417,1416,945,383,53,10,8,1399,17,1
안양8동,선거일투표,5756,2418,1002,1262,78,16,26,2384,34,3338
안양9동,계,13033,7415,3742,3238,217,46,41,7284,131,5618
안양9동,관내사전투표,2464,2464,1665,693,58,12,10,2438,26,0
안양9동,선거일투표,10569,4951,2077,2545,159,34,31,4846,105,5618
석수1동,계,5716,4052,2419,1387,169,21,14,4010,42,1664
석수1동,관내사전투표,2673,2673,1871,644,112,15,8,2650,23,0
석수1동,선거일투표,3043,1379,548,743,57,6,6,1360,19,1664
석수2동,계,8652,6509,4026,2068,254,39,29,6416,93,2143
석수2동,관내사전투표,3830,3829,2686,929,132,25,13,3785,44,1
석수2동,선거일투표,4822,2680,1340,1139,122,14,16,2631,49,2142
충훈동,계,4856,3335,1995,1137,110,23,24,3289,46,1521
충훈동,관내사전투표,2102,2101,1428,569,64,13,9,2083,18,1
충훈동,선거일투표,2754,1234,567,568,46,10,15,1206,28,1520
박달동,계,9213,5218,2896,2019,135,23,31,5104,114,3995
박달동,관내사전투표,2426,2426,1686,618,58,12,11,2385,41,0
박달동,선거일투표,6787,2792,1210,1401,77,11,20,2719,73,3995
호현동,계,7841,5782,3456,1974,227,28,33,5718,64,2059
호현동,관내사전투표,2859,2859,2056,659,94,15,9,2833,26,0
호현동,선거일투표,4982,2923,1400,1315,133,13,24,2885,38,2059
