읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,7019,7017,4119,2467,206,37,60,6889,128,2
강하면,계,864,864,506,311,27,3,5,852,12,0
강하면,관내사전투표,864,864,506,311,27,3,5,852,12,0
서종면,계,1506,1506,1017,409,55,6,8,1495,11,0
서종면,관내사전투표,1506,1506,1017,409,55,6,8,1495,11,0
단월면,계,787,787,446,272,31,9,7,765,22,0
단월면,관내사전투표,787,787,446,272,31,9,7,765,22,0
청운면,계,842,842,481,278,47,3,15,824,18,0
청운면,관내사전투표,842,842,481,278,47,3,15,824,18,0
양동면,계,850,850,448,350,13,9,9,829,21,0
양동면,관내사전투표,850,850,448,350,13,9,9,829,21,0
지평면,계,1280,1278,716,483,33,4,16,1252,26,2
지평면,관내사전투표,1280,1278,716,483,33,4,16,1252,26,2
개군면,계,890,890,505,364,0,3,0,872,18,0
개군면,관내사전투표,890,890,505,364,0,3,0,872,18,0
