읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,49746,31778,14662,14928,973,205,297,31065,713,17968
거소투표,,163,156,55,50,6,3,4,118,38,7
관외사전투표,,2890,2889,1654,1017,130,19,23,2843,46,1
가남읍,계,9153,5236,2425,2476,153,27,47,5128,108,3917
가남읍,관내사전투표,1976,1976,1253,598,70,13,8,1942,34,0
가남읍,선거일투표,7177,3260,1172,1878,83,14,39,3186,74,3917
점동면,계,1579,1352,684,586,32,10,11,1323,29,227
점동면,관내사전투표,1040,1040,601,375,26,8,7,1017,23,0
점동면,선거일투표,539,312,83,211,6,2,4,306,6,227
세종대왕면,계,1750,1332,590,657,38,5,14,1304,28,418
세종대왕면,관내사전투표,818,818,428,336,27,3,5,799,19,0
세종대왕면,선거일투표,932,514,162,321,11,2,9,505,9,418
흥천면,계,4179,2487,904,1422,65,20,21,2432,55,1692
흥천면,관내사전투표,739,739,400,300,20,8,3,731,8,0
흥천면,선거일투표,3440,1748,504,1122,45,12,18,1701,47,1692
금사면,계,2541,1595,498,987,47,10,14,1556,39,946
금사면,관내사전투표,568,568,262,272,17,2,6,559,9,0
금사면,선거일투표,1973,1027,236,715,30,8,8,997,30,946
산북면,계,480,480,272,177,16,4,2,471,9,0
산북면,관내사전투표,480,480,272,177,16,4,2,471,9,0
대신면,계,1968,1500,627,751,59,9,19,1465,35,468
대신면,관내사전투표,1012,1012,501,433,41,4,12,991,21,0
대신면,선거일투표,956,488,126,318,18,5,7,474,14,468
북내면,계,2779,1399,379,906,34,6,27,1352,47,1380
북내면,선거일투표,2779,1399,379,906,34,6,27,1352,47,1380
강천면,계,3066,1916,812,974,43,9,20,1858,58,1150
강천면,관내사전투표,738,738,421,269,20,4,6,720,18,0
강천면,선거일투표,2328,1178,391,705,23,5,14,1138,40,1150
여흥동,계,8509,5302,2555,2371,178,44,53,5201,101,3207
여흥동,관내사전투표,2593,2593,1558,848,100,24,28,2558,35,0
여흥동,선거일투표,5916,2709,997,1523,78,20,25,2643,66,3207
중앙동,계,2993,2992,1833,994,85,21,17,2950,42,1
중앙동,관내사전투표,2993,2992,1833,994,85,21,17,2950,42,1
오학동,계,7696,3142,1374,1560,87,18,25,3064,78,4554
오학동,선거일투표,7696,3142,1374,1560,87,18,25,3064,78,4554
