읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,36022,22731,10212,10713,685,146,270,22026,705,13291
거소투표,,239,231,91,86,20,5,10,212,19,8
연천읍,계,6676,4193,1929,1885,160,26,31,4031,162,2483
연천읍,관내사전투표,1547,1547,903,484,78,10,6,1481,66,0
연천읍,선거일투표,5129,2646,1026,1401,82,16,25,2550,96,2483
전곡읍,계,15548,9392,4538,4210,258,54,91,9151,241,6156
전곡읍,관내사전투표,3259,3259,1948,1122,94,19,20,3203,56,0
전곡읍,선거일투표,12289,6133,2590,3088,164,35,71,5948,185,6156
군남면,계,2505,1679,695,848,35,14,33,1625,54,826
군남면,관내사전투표,365,365,189,148,9,2,8,356,9,0
군남면,선거일투표,2140,1314,506,700,26,12,25,1269,45,826
청산면,계,3449,2105,816,1142,57,16,22,2053,52,1344
청산면,관내사전투표,631,631,341,240,23,5,7,616,15,0
청산면,선거일투표,2818,1474,475,902,34,11,15,1437,37,1344
백학면,계,2235,1375,544,714,50,11,22,1341,34,860
백학면,관내사전투표,489,489,258,197,16,5,4,480,9,0
백학면,선거일투표,1746,886,286,517,34,6,18,861,25,860
미산면,계,1424,915,359,475,33,9,15,891,24,509
미산면,관내사전투표,365,365,173,156,17,4,6,356,9,0
미산면,선거일투표,1059,550,186,319,16,5,9,535,15,509
왕징면,계,940,674,296,310,16,3,17,642,32,266
왕징면,관내사전투표,245,245,137,79,4,1,7,228,17,0
왕징면,선거일투표,695,429,159,231,12,2,10,414,15,266
신서면,계,2171,1555,688,741,32,7,19,1487,68,616
신서면,관내사전투표,672,672,359,261,15,2,9,646,26,0
신서면,선거일투표,1499,883,329,480,17,5,10,841,42,616
중면,계,165,121,54,58,5,0,1,118,3,44
중면,관내사전투표,49,49,25,22,2,0,0,49,0,0
중면,선거일투표,116,72,29,36,3,0,1,69,3,44
장남면,계,670,491,202,244,19,1,9,475,16,179
장남면,관내사전투표,168,168,86,69,5,1,3,164,4,0
장남면,선거일투표,502,323,116,175,14,0,6,311,12,179
