읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,62515,32446,18962,11267,1303,187,211,31930,516,30069
거소투표,,283,271,110,101,16,8,8,243,28,12
중앙동,계,11514,5470,2512,2519,256,35,40,5362,108,6044
중앙동,선거일투표,11514,5470,2512,2519,256,35,40,5362,108,6044
대원1동,계,8980,2439,1046,1208,113,7,17,2391,48,6541
대원1동,선거일투표,8980,2439,1046,1208,113,7,17,2391,48,6541
대원2동,계,5310,3671,2477,995,124,17,23,3636,35,1639
대원2동,관내사전투표,2562,2562,1890,536,89,11,16,2542,20,0
대원2동,선거일투표,2748,1109,587,459,35,6,7,1094,15,1639
남촌동,계,8262,3229,2113,920,119,17,19,3188,41,5033
남촌동,관내사전투표,2253,2253,1598,534,78,10,12,2232,21,0
남촌동,선거일투표,6009,976,515,386,41,7,7,956,20,5033
신장1동,계,13901,8199,4983,2650,329,44,55,8061,138,5702
신장1동,관내사전투표,3839,3836,2852,761,139,20,12,3784,52,3
신장1동,선거일투표,10062,4363,2131,1889,190,24,43,4277,86,5699
신장2동,계,2505,2504,1815,530,110,15,11,2481,23,1
신장2동,관내사전투표,2505,2504,1815,530,110,15,11,2481,23,1
세마동,계,7697,4870,2988,1584,181,32,29,4814,56,2827
세마동,관내사전투표,3422,3414,2417,788,135,23,20,3383,31,8
세마동,선거일투표,4275,1456,571,796,46,9,9,1431,25,2819
초평동,계,4063,1793,918,760,55,12,9,1754,39,2270
초평동,선거일투표,4063,1793,918,760,55,12,9,1754,39,2270
