읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,118428,85000,45629,33854,4154,345,223,84205,795,33428
관외사전투표,,8772,8771,5386,2675,496,57,33,8647,124,1
풍덕천1동,계,9794,6942,4155,2269,357,40,24,6845,97,2852
풍덕천1동,관내사전투표,5237,5236,3510,1360,260,34,15,5179,57,1
풍덕천1동,선거일투표,4557,1706,645,909,97,6,9,1666,40,2851
풍덕천2동,계,10456,8263,5064,2651,426,38,18,8197,66,2193
풍덕천2동,관내사전투표,5663,5663,3930,1366,287,23,12,5618,45,0
풍덕천2동,선거일투표,4793,2600,1134,1285,139,15,6,2579,21,2193
신봉동,계,17257,11946,6432,4732,590,47,40,11841,105,5311
신봉동,관내사전투표,5235,5234,3681,1241,238,26,10,5196,38,1
신봉동,선거일투표,12022,6712,2751,3491,352,21,30,6645,67,5310
동천동,계,15731,12007,7070,4267,504,41,22,11904,103,3724
동천동,관내사전투표,7030,7030,4858,1804,287,22,10,6981,49,0
동천동,선거일투표,8701,4977,2212,2463,217,19,12,4923,54,3724
상현1동,계,14942,9708,4812,4299,453,31,27,9622,86,5234
상현1동,관내사전투표,2528,2526,1803,579,111,9,2,2504,22,2
상현1동,선거일투표,12414,7182,3009,3720,342,22,25,7118,64,5232
상현3동,계,13754,9525,5130,3760,488,37,24,9439,86,4229
상현3동,관내사전투표,4088,4087,2886,933,220,15,3,4057,30,1
상현3동,선거일투표,9666,5438,2244,2827,268,22,21,5382,56,4228
성복동,계,27722,17838,7580,9201,840,54,35,17710,128,9884
성복동,관내사전투표,5530,5529,3614,1628,237,16,7,5502,27,1
성복동,선거일투표,22192,12309,3966,7573,603,38,28,12208,101,9883
