읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,23345,9945,4157,5183,341,43,66,9790,155,13400
포곡읍,계,8881,3504,1573,1712,109,20,31,3445,59,5377
포곡읍,선거일투표,8881,3504,1573,1712,109,20,31,3445,59,5377
모현읍,계,1874,808,244,510,21,5,7,787,21,1066
모현읍,선거일투표,1874,808,244,510,21,5,7,787,21,1066
이동읍,계,621,301,71,218,8,1,0,298,3,320
이동읍,선거일투표,621,301,71,218,8,1,0,298,3,320
남사읍,계,4091,2325,1117,1079,92,5,14,2307,18,1766
남사읍,선거일투표,4091,2325,1117,1079,92,5,14,2307,18,1766
역북동,계,3505,1333,459,778,63,7,5,1312,21,2172
역북동,선거일투표,3505,1333,459,778,63,7,5,1312,21,2172
유림1동,계,2404,885,339,488,30,2,3,862,23,1519
유림1동,선거일투표,2404,885,339,488,30,2,3,862,23,1519
유림2동,계,1969,789,354,398,18,3,6,779,10,1180
유림2동,선거일투표,1969,789,354,398,18,3,6,779,10,1180
