읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,239384,144493,85551,50142,5066,847,803,142409,2084,94891
거소투표,,479,451,228,158,28,3,5,422,29,28
관외사전투표,,9771,9767,6526,2601,398,63,50,9638,129,4
의정부1동,계,3309,3309,2299,815,127,11,23,3275,34,0
의정부1동,관내사전투표,3309,3309,2299,815,127,11,23,3275,34,0
의정부2동,계,25089,11445,6162,4552,363,82,68,11227,218,13644
의정부2동,관내사전투표,2625,2623,1839,640,75,26,16,2596,27,2
의정부2동,선거일투표,22464,8822,4323,3912,288,56,52,8631,191,13642
호원1동,계,5063,5062,3593,1217,143,25,22,5000,62,1
호원1동,관내사전투표,5063,5062,3593,1217,143,25,22,5000,62,1
호원2동,계,6149,6147,4258,1550,208,29,23,6068,79,2
호원2동,관내사전투표,6149,6147,4258,1550,208,29,23,6068,79,2
장암동,계,15638,9557,5228,3726,334,52,67,9407,150,6081
장암동,관내사전투표,3061,3060,2153,739,102,17,15,3026,34,1
장암동,선거일투표,12577,6497,3075,2987,232,35,52,6381,116,6080
신곡1동,계,4352,4350,3031,1091,135,35,17,4309,41,2
신곡1동,관내사전투표,4352,4350,3031,1091,135,35,17,4309,41,2
신곡2동,계,5893,5893,4135,1436,190,47,22,5830,63,0
신곡2동,관내사전투표,5893,5893,4135,1436,190,47,22,5830,63,0
송산1동,계,25489,13278,6985,5378,509,98,85,13055,223,12211
송산1동,관내사전투표,3556,3556,2431,913,128,27,15,3514,42,0
송산1동,선거일투표,21933,9722,4554,4465,381,71,70,9541,181,12211
송산2동,계,25880,14363,8365,5105,526,99,79,14174,189,11517
송산2동,관내사전투표,5018,5017,3655,1105,177,24,15,4976,41,1
송산2동,선거일투표,20862,9346,4710,4000,349,75,64,9198,148,11516
송산3동,계,33808,18599,11226,6272,683,97,90,18368,231,15209
송산3동,관내사전투표,5766,5766,4378,1102,194,33,18,5725,41,0
송산3동,선거일투표,28042,12833,6848,5170,489,64,72,12643,190,15209
자금동,계,2826,2826,2015,684,80,16,10,2805,21,0
자금동,관내사전투표,2826,2826,2015,684,80,16,10,2805,21,0
가능동,계,22231,10697,5699,4372,328,48,73,10520,177,11534
가능동,관내사전투표,4074,4073,2736,1138,111,11,20,4016,57,1
가능동,선거일투표,18157,6624,2963,3234,217,37,53,6504,120,11533
흥선동,계,15025,7300,3837,2999,225,36,48,7145,155,7725
흥선동,관내사전투표,2498,2497,1663,685,75,13,15,2451,46,1
흥선동,선거일투표,12527,4803,2174,2314,150,23,33,4694,109,7724
녹양동,계,15963,8738,4639,3591,291,47,39,8607,131,7225
녹양동,관내사전투표,3241,3241,2177,906,101,14,12,3210,31,0
녹양동,선거일투표,12722,5497,2462,2685,190,33,27,5397,100,7225
고산동,계,22419,12711,7325,4595,498,59,82,12559,152,9708
고산동,관내사전투표,3569,3569,2610,794,111,15,15,3545,24,0
고산동,선거일투표,18850,9142,4715,3801,387,44,67,9014,128,9708
