읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,20263,8164,3704,3977,235,54,60,8030,134,12099
문산읍,계,2995,962,421,481,30,9,7,948,14,2033
문산읍,선거일투표,2995,962,421,481,30,9,7,948,14,2033
법원읍,계,1590,614,191,381,14,7,6,599,15,976
법원읍,선거일투표,1590,614,191,381,14,7,6,599,15,976
광탄면,계,1226,510,182,300,13,4,4,503,7,716
광탄면,선거일투표,1226,510,182,300,13,4,4,503,7,716
탄현면,계,2242,979,370,554,23,2,4,953,26,1263
탄현면,선거일투표,2242,979,370,554,23,2,4,953,26,1263
월롱면,계,1142,493,151,306,20,4,4,485,8,649
월롱면,선거일투표,1142,493,151,306,20,4,4,485,8,649
교하동,계,2649,1396,765,553,47,3,13,1381,15,1253
교하동,관내사전투표,642,642,430,180,19,1,5,635,7,0
교하동,선거일투표,2007,754,335,373,28,2,8,746,8,1253
운정2동,계,3341,1347,715,557,41,8,5,1326,21,1994
운정2동,선거일투표,3341,1347,715,557,41,8,5,1326,21,1994
운정3동,계,2558,777,417,308,21,9,8,763,14,1781
운정3동,선거일투표,2558,777,417,308,21,9,8,763,14,1781
금촌3동,계,2520,1086,492,537,26,8,9,1072,14,1434
금촌3동,선거일투표,2520,1086,492,537,26,8,9,1072,14,1434
