읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,73803,43741,19549,20849,1328,362,534,42622,1119,30062
소흘읍,계,17130,8134,3690,3871,249,65,89,7964,170,8996
소흘읍,선거일투표,17130,8134,3690,3871,249,65,89,7964,170,8996
군내면,계,3021,2378,1194,1011,67,25,34,2331,47,643
군내면,관내사전투표,1693,1693,981,594,49,15,21,1660,33,0
군내면,선거일투표,1328,685,213,417,18,10,13,671,14,643
내촌면,계,2134,1454,656,677,44,12,22,1411,43,680
내촌면,관내사전투표,906,906,487,353,23,5,11,879,27,0
내촌면,선거일투표,1228,548,169,324,21,7,11,532,16,680
가산면,계,4012,2672,1298,1218,71,20,16,2623,49,1340
가산면,관내사전투표,1439,1439,842,517,37,9,11,1416,23,0
가산면,선거일투표,2573,1233,456,701,34,11,5,1207,26,1340
신북면,계,6870,4127,1738,2066,120,36,47,4007,120,2743
신북면,관내사전투표,1513,1513,794,594,52,8,12,1460,53,0
신북면,선거일투표,5357,2614,944,1472,68,28,35,2547,67,2743
창수면,계,1808,1224,499,635,25,9,15,1183,41,584
창수면,관내사전투표,504,504,271,200,7,6,6,490,14,0
창수면,선거일투표,1304,720,228,435,18,3,9,693,27,584
영중면,계,4033,2562,1053,1303,72,13,34,2475,87,1471
영중면,관내사전투표,968,968,513,387,24,8,9,941,27,0
영중면,선거일투표,3065,1594,540,916,48,5,25,1534,60,1471
일동면,계,6501,3858,1655,1895,116,38,56,3760,98,2643
일동면,관내사전투표,1545,1544,854,582,44,18,16,1514,30,1
일동면,선거일투표,4956,2314,801,1313,72,20,40,2246,68,2642
이동면,계,4661,2607,993,1395,77,24,34,2523,84,2054
이동면,관내사전투표,682,682,357,285,21,4,2,669,13,0
이동면,선거일투표,3979,1925,636,1110,56,20,32,1854,71,2054
영북면,계,4847,3062,1293,1488,117,19,42,2959,103,1785
영북면,관내사전투표,1259,1259,685,486,50,8,8,1237,22,0
영북면,선거일투표,3588,1803,608,1002,67,11,34,1722,81,1785
관인면,계,2198,1418,560,744,39,8,29,1380,38,780
관인면,관내사전투표,508,508,253,214,15,5,10,497,11,0
관인면,선거일투표,1690,910,307,530,24,3,19,883,27,780
화현면,계,2030,1206,436,683,43,7,20,1189,17,824
화현면,관내사전투표,419,419,212,185,11,3,3,414,5,0
화현면,선거일투표,1611,787,224,498,32,4,17,775,12,824
포천동,계,13605,8556,4313,3581,282,81,92,8349,207,5049
포천동,관내사전투표,4139,4138,2542,1308,148,39,25,4062,76,1
포천동,선거일투표,9466,4418,1771,2273,134,42,67,4287,131,5048
선단동,계,953,483,171,282,6,5,4,468,15,470
선단동,선거일투표,953,483,171,282,6,5,4,468,15,470
