읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,232020,121965,65797,47451,4366,1576,715,119905,2060,110055
거소투표,,254,241,104,95,12,5,6,222,19,13
관외사전투표,,12842,12838,7690,4076,663,150,74,12653,185,4
우정읍,계,14592,7434,3734,3122,247,121,67,7291,143,7158
우정읍,관내사전투표,2818,2817,1824,800,91,45,19,2779,38,1
우정읍,선거일투표,11774,4617,1910,2322,156,76,48,4512,105,7157
향남읍,계,66913,31546,18711,10583,1017,608,174,31093,453,35367
향남읍,관내사전투표,7236,7234,5468,1298,218,150,30,7164,70,2
향남읍,선거일투표,59677,24312,13243,9285,799,458,144,23929,383,35365
남양읍,계,48394,23343,12707,8989,934,205,135,22970,373,25051
남양읍,관내사전투표,7194,7193,5123,1648,250,65,28,7114,79,1
남양읍,선거일투표,41200,16150,7584,7341,684,140,107,15856,294,25050
마도면,계,6220,3209,1519,1482,88,25,21,3135,74,3011
마도면,관내사전투표,1445,1445,939,413,50,15,10,1427,18,0
마도면,선거일투표,4775,1764,580,1069,38,10,11,1708,56,3011
송산면,계,9128,4569,1876,2339,145,50,27,4437,132,4559
송산면,관내사전투표,1622,1622,968,535,56,20,6,1585,37,0
송산면,선거일투표,7506,2947,908,1804,89,30,21,2852,95,4559
서신면,계,6398,3346,1398,1701,105,39,32,3275,71,3052
서신면,관내사전투표,1306,1306,785,426,49,17,7,1284,22,0
서신면,선거일투표,5092,2040,613,1275,56,22,25,1991,49,3052
팔탄면,계,8268,4033,1778,1947,127,79,17,3948,85,4235
팔탄면,관내사전투표,1436,1436,894,427,51,31,5,1408,28,0
팔탄면,선거일투표,6832,2597,884,1520,76,48,12,2540,57,4235
장안면,계,7946,3687,1619,1794,102,55,25,3595,92,4259
장안면,관내사전투표,1059,1059,646,339,27,15,12,1039,20,0
장안면,선거일투표,6887,2628,973,1455,75,40,13,2556,72,4259
양감면,계,3857,2229,1044,1022,65,35,9,2175,54,1628
양감면,관내사전투표,1082,1082,706,293,33,24,5,1061,21,0
양감면,선거일투표,2775,1147,338,729,32,11,4,1114,33,1628
새솔동,계,19187,10832,6694,3566,334,73,55,10722,110,8355
새솔동,관내사전투표,3852,3852,2934,754,107,21,16,3832,20,0
새솔동,선거일투표,15335,6980,3760,2812,227,52,39,6890,90,8355
정남면,계,9022,4405,1885,2216,151,40,19,4311,94,4617
정남면,관내사전투표,1170,1170,692,400,51,10,6,1159,11,0
정남면,선거일투표,7852,3235,1193,1816,100,30,13,3152,83,4617
매송면,계,5508,2996,1325,1451,101,34,22,2933,63,2512
매송면,관내사전투표,808,808,518,233,27,10,5,793,15,0
매송면,선거일투표,4700,2188,807,1218,74,24,17,2140,48,2512
비봉면,계,13491,7257,3713,3068,275,57,32,7145,112,6234
비봉면,관내사전투표,2126,2126,1421,577,81,14,5,2098,28,0
비봉면,선거일투표,11365,5131,2292,2491,194,43,27,5047,84,6234
