읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,146825,84190,48290,29052,4697,555,487,83081,1109,62635
거소투표,,184,177,64,79,18,2,7,170,7,7
관외사전투표,,11839,11838,7687,3005,816,97,69,11674,164,1
진안동,계,30885,15527,8613,5738,793,98,81,15323,204,15358
진안동,관내사전투표,2803,2803,1977,639,125,16,14,2771,32,0
진안동,선거일투표,28082,12724,6636,5099,668,82,67,12552,172,15358
병점1동,계,18980,11162,6468,3865,543,86,64,11026,136,7818
병점1동,관내사전투표,4675,4672,3314,1053,201,43,21,4632,40,3
병점1동,선거일투표,14305,6490,3154,2812,342,43,43,6394,96,7815
병점2동,계,18222,10428,6197,3413,509,74,79,10272,156,7794
병점2동,관내사전투표,4026,4026,2998,745,191,26,30,3990,36,0
병점2동,선거일투표,14196,6402,3199,2668,318,48,49,6282,120,7794
반월동,계,22695,13226,7371,4846,743,63,68,13091,135,9469
반월동,관내사전투표,3425,3425,2479,748,137,19,13,3396,29,0
반월동,선거일투표,19270,9801,4892,4098,606,44,55,9695,106,9469
화산동,계,18813,10127,5907,3521,413,79,60,9980,147,8686
화산동,관내사전투표,3921,3921,2799,896,145,28,15,3883,38,0
화산동,선거일투표,14892,6206,3108,2625,268,51,45,6097,109,8686
동탄3동,계,25207,11705,5983,4585,862,56,59,11545,160,13502
동탄3동,선거일투표,25207,11705,5983,4585,862,56,59,11545,160,13502
