읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김경수,국민의힘 박완수,계,무효 투표수,기권자수
합계,,159675,120026,75882,42458,118340,1686,39649
관외사전투표,,13858,13848,8966,4684,13650,198,10
진영읍,계,7911,7910,5935,1922,7857,53,1
진영읍,관내사전투표,7911,7910,5935,1922,7857,53,1
주촌면,계,2805,2804,2024,758,2782,22,1
주촌면,관내사전투표,2805,2804,2024,758,2782,22,1
진례면,계,1903,987,362,596,958,29,916
진례면,선거일투표,1903,987,362,596,958,29,916
한림면,계,2377,1684,961,656,1617,67,693
한림면,관내사전투표,1054,1053,680,328,1008,45,1
한림면,선거일투표,1323,631,281,328,609,22,692
생림면,계,572,572,317,240,557,15,0
생림면,관내사전투표,572,572,317,240,557,15,0
상동면,계,2541,1553,568,924,1492,61,988
상동면,관내사전투표,540,539,259,240,499,40,1
상동면,선거일투표,2001,1014,309,684,993,21,987
대동면,계,3039,2079,842,1202,2044,35,960
대동면,관내사전투표,702,702,421,270,691,11,0
대동면,선거일투표,2337,1377,421,932,1353,24,960
동상동,계,1332,1331,818,491,1309,22,1
동상동,관내사전투표,1332,1331,818,491,1309,22,1
회현동,계,1558,1557,980,557,1537,20,1
회현동,관내사전투표,1558,1557,980,557,1537,20,1
부원동,계,1640,1639,1055,556,1611,28,1
부원동,관내사전투표,1640,1639,1055,556,1611,28,1
내외동,계,25964,16823,10088,6468,16556,267,9141
내외동,관내사전투표,8995,8990,6343,2558,8901,89,5
내외동,선거일투표,16969,7833,3745,3910,7655,178,9136
북부동,계,38285,23657,13760,9539,23299,358,14628
북부동,관내사전투표,9517,9516,7022,2404,9426,90,1
북부동,선거일투표,28768,14141,6738,7135,13873,268,14627
칠산서부동,계,3412,2426,1362,1022,2384,42,986
칠산서부동,관내사전투표,1466,1466,991,449,1440,26,0
칠산서부동,선거일투표,1946,960,371,573,944,16,986
활천동,계,4082,4077,2728,1291,4019,58,5
활천동,관내사전투표,4082,4077,2728,1291,4019,58,5
삼안동,계,10652,7344,4334,2916,7250,94,3308
삼안동,관내사전투표,4700,4678,3132,1512,4644,34,22
삼안동,선거일투표,5952,2666,1202,1404,2606,60,3286
불암동,계,1923,1579,959,586,1545,34,344
불암동,관내사전투표,1220,1220,831,365,1196,24,0
불암동,선거일투표,703,359,128,221,349,10,344
장유1동,계,12355,9921,6962,2869,9831,90,2434
장유1동,관내사전투표,8025,8019,6054,1911,7965,54,6
장유1동,선거일투표,4330,1902,908,958,1866,36,2428
장유2동,계,11982,8506,5692,2717,8409,97,3476
장유2동,관내사전투표,5718,5717,4279,1396,5675,42,1
장유2동,선거일투표,6264,2789,1413,1321,2734,55,3475
장유3동,계,11484,9729,7169,2464,9633,96,1755
장유3동,관내사전투표,8115,8105,6400,1646,8046,59,10
장유3동,선거일투표,3369,1624,769,818,1587,37,1745
