읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김경수,국민의힘 박완수,계,무효 투표수,기권자수
합계,,37828,28540,12400,15085,27485,1055,9288
거소투표,,177,149,63,80,143,6,28
관외사전투표,,3009,3008,1767,1190,2957,51,1
남해읍,계,10224,7573,3606,3747,7353,220,2651
남해읍,관내사전투표,3572,3572,2146,1351,3497,75,0
남해읍,선거일투표,6652,4001,1460,2396,3856,145,2651
이동면,계,3064,2249,860,1313,2173,76,815
이동면,관내사전투표,757,757,378,355,733,24,0
이동면,선거일투표,2307,1492,482,958,1440,52,815
상주면,계,1325,962,440,471,911,51,363
상주면,관내사전투표,440,440,250,169,419,21,0
상주면,선거일투표,885,522,190,302,492,30,363
삼동면,계,3249,2278,978,1195,2173,105,971
삼동면,관내사전투표,825,825,489,313,802,23,0
삼동면,선거일투표,2424,1453,489,882,1371,82,971
미조면,계,1857,1336,519,773,1292,44,521
미조면,관내사전투표,506,506,283,208,491,15,0
미조면,선거일투표,1351,830,236,565,801,29,521
남면,계,2876,2070,861,1096,1957,113,806
남면,관내사전투표,1098,1094,524,493,1017,77,4
남면,선거일투표,1778,976,337,603,940,36,802
서면,계,2198,1612,658,877,1535,77,586
서면,관내사전투표,700,700,352,316,668,32,0
서면,선거일투표,1498,912,306,561,867,45,586
고현면,계,2819,2170,975,1102,2077,93,649
고현면,관내사전투표,946,945,483,426,909,36,1
고현면,선거일투표,1873,1225,492,676,1168,57,648
설천면,계,2210,1710,656,968,1624,86,500
설천면,관내사전투표,604,602,317,247,564,38,2
설천면,선거일투표,1606,1108,339,721,1060,48,498
창선면,계,4820,3423,1017,2273,3290,133,1397
창선면,관내사전투표,1507,1506,562,868,1430,76,1
창선면,선거일투표,3313,1917,455,1405,1860,57,1396
