읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김경수,국민의힘 박완수,계,무효 투표수,기권자수
합계,,87696,56818,23086,32101,55187,1631,30878
거소투표,,232,219,96,103,199,20,13
관외사전투표,,4143,4140,2150,1902,4052,88,3
사천읍,계,13438,7550,3292,4105,7397,153,5888
사천읍,관내사전투표,2620,2619,1567,1017,2584,35,1
사천읍,선거일투표,10818,4931,1725,3088,4813,118,5887
정동면,계,9167,5359,2467,2755,5222,137,3808
정동면,관내사전투표,1189,1189,731,440,1171,18,0
정동면,선거일투표,7978,4170,1736,2315,4051,119,3808
사남면,계,10414,6746,3559,3036,6595,151,3668
사남면,관내사전투표,3328,3321,2192,1085,3277,44,7
사남면,선거일투표,7086,3425,1367,1951,3318,107,3661
용현면,계,6552,3898,1629,2145,3774,124,2654
용현면,관내사전투표,1537,1537,805,682,1487,50,0
용현면,선거일투표,5015,2361,824,1463,2287,74,2654
축동면,계,1376,966,291,640,931,35,410
축동면,관내사전투표,382,382,156,215,371,11,0
축동면,선거일투표,994,584,135,425,560,24,410
곤양면,계,2657,1849,610,1147,1757,92,808
곤양면,관내사전투표,643,643,265,337,602,41,0
곤양면,선거일투표,2014,1206,345,810,1155,51,808
곤명면,계,2219,1518,508,942,1450,68,701
곤명면,관내사전투표,557,557,266,268,534,23,0
곤명면,선거일투표,1662,961,242,674,916,45,701
서포면,계,2785,1875,632,1152,1784,91,910
서포면,관내사전투표,752,751,323,392,715,36,1
서포면,선거일투표,2033,1124,309,760,1069,55,909
동서동,계,4581,3074,752,2194,2946,128,1507
동서동,관내사전투표,939,937,293,601,894,43,2
동서동,선거일투표,3642,2137,459,1593,2052,85,1505
선구동,계,3911,2538,766,1697,2463,75,1373
선구동,관내사전투표,799,798,324,454,778,20,1
선구동,선거일투표,3112,1740,442,1243,1685,55,1372
동서금동,계,5220,3378,1182,2117,3299,79,1842
동서금동,관내사전투표,1171,1171,532,612,1144,27,0
동서금동,선거일투표,4049,2207,650,1505,2155,52,1842
벌용동,계,11508,7454,2881,4376,7257,197,4054
벌용동,관내사전투표,2381,2379,1196,1141,2337,42,2
벌용동,선거일투표,9127,5075,1685,3235,4920,155,4052
향촌동,계,5572,3574,1373,2085,3458,116,1998
향촌동,관내사전투표,1399,1399,692,659,1351,48,0
향촌동,선거일투표,4173,2175,681,1426,2107,68,1998
남양동,계,3921,2680,898,1705,2603,77,1241
남양동,관내사전투표,1059,1057,489,544,1033,24,2
남양동,선거일투표,2862,1623,409,1161,1570,53,1239
