읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김경수,국민의힘 박완수,계,무효 투표수,기권자수
합계,,22730,17563,6679,9921,16600,963,5167
관외사전투표,,2385,2383,1176,1150,2326,57,2
의령읍,계,6856,5179,2243,2755,4998,181,1677
의령읍,관내사전투표,1997,1994,1099,854,1953,41,3
의령읍,선거일투표,4859,3185,1144,1901,3045,140,1674
가례면,계,1343,962,298,560,858,104,381
가례면,관내사전투표,397,397,155,194,349,48,0
가례면,선거일투표,946,565,143,366,509,56,381
칠곡면,계,996,729,258,426,684,45,267
칠곡면,관내사전투표,281,281,133,136,269,12,0
칠곡면,선거일투표,715,448,125,290,415,33,267
대의면,계,806,593,193,365,558,35,213
대의면,관내사전투표,167,167,81,81,162,5,0
대의면,선거일투표,639,426,112,284,396,30,213
화정면,계,1156,863,289,527,816,47,293
화정면,관내사전투표,304,304,118,171,289,15,0
화정면,선거일투표,852,559,171,356,527,32,293
용덕면,계,1210,893,298,544,842,51,317
용덕면,관내사전투표,292,292,125,157,282,10,0
용덕면,선거일투표,918,601,173,387,560,41,317
정곡면,계,1125,826,262,500,762,64,299
정곡면,관내사전투표,340,339,133,181,314,25,1
정곡면,선거일투표,785,487,129,319,448,39,298
지정면,계,1476,954,356,560,916,38,522
지정면,관내사전투표,330,330,153,161,314,16,0
지정면,선거일투표,1146,624,203,399,602,22,522
낙서면,계,583,468,120,312,432,36,115
낙서면,관내사전투표,133,133,49,77,126,7,0
낙서면,선거일투표,450,335,71,235,306,29,115
부림면,계,2274,1846,582,1108,1690,156,428
부림면,관내사전투표,757,757,317,373,690,67,0
부림면,선거일투표,1517,1089,265,735,1000,89,428
봉수면,계,721,543,152,347,499,44,178
봉수면,관내사전투표,206,206,74,117,191,15,0
봉수면,선거일투표,515,337,78,230,308,29,178
궁류면,계,904,675,251,372,623,52,229
궁류면,관내사전투표,314,314,135,151,286,28,0
궁류면,선거일투표,590,361,116,221,337,24,229
유곡면,계,895,649,201,395,596,53,246
유곡면,관내사전투표,184,184,74,100,174,10,0
유곡면,선거일투표,711,465,127,295,422,43,246
