읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김경수,국민의힘 박완수,계,무효 투표수,기권자수
합계,,14689,14135,7382,6566,13948,187,554
회원1동,계,1477,1477,693,766,1459,18,0
회원1동,관내사전투표,1477,1477,693,766,1459,18,0
회원2동,계,1304,1304,732,559,1291,13,0
회원2동,관내사전투표,1304,1304,732,559,1291,13,0
석전동,계,2067,2067,1161,885,2046,21,0
석전동,관내사전투표,2067,2067,1161,885,2046,21,0
회성동,계,924,924,379,534,913,11,0
회성동,관내사전투표,924,924,379,534,913,11,0
양덕1동,계,1599,1597,855,724,1579,18,2
양덕1동,관내사전투표,1599,1597,855,724,1579,18,2
합성1동,계,1556,1556,855,675,1530,26,0
합성1동,관내사전투표,1556,1556,855,675,1530,26,0
합성2동,계,1504,1502,796,686,1482,20,2
합성2동,관내사전투표,1504,1502,796,686,1482,20,2
구암1동,계,1285,1285,680,582,1262,23,0
구암1동,관내사전투표,1285,1285,680,582,1262,23,0
구암2동,계,2422,1872,906,935,1841,31,550
구암2동,관내사전투표,1138,1137,668,461,1129,8,1
구암2동,선거일투표,1284,735,238,474,712,23,549
봉암동,계,551,551,325,220,545,6,0
봉암동,관내사전투표,551,551,325,220,545,6,0
