읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김경수,국민의힘 박완수,계,무효 투표수,기권자수
합계,,15164,15155,9318,5647,14965,190,9
관외사전투표,,973,973,582,379,961,12,0
충무동,계,2049,2048,1170,828,1998,50,1
충무동,관내사전투표,2049,2048,1170,828,1998,50,1
태백동,계,600,598,284,300,584,14,2
태백동,관내사전투표,600,598,284,300,584,14,2
경화동,계,1744,1744,1057,667,1724,20,0
경화동,관내사전투표,1744,1744,1057,667,1724,20,0
병암동,계,1309,1309,806,489,1295,14,0
병암동,관내사전투표,1309,1309,806,489,1295,14,0
석동,계,2170,2170,1461,693,2154,16,0
석동,관내사전투표,2170,2170,1461,693,2154,16,0
이동,계,994,994,560,418,978,16,0
이동,관내사전투표,994,994,560,418,978,16,0
자은동,계,2541,2541,1656,867,2523,18,0
자은동,관내사전투표,2541,2541,1656,867,2523,18,0
덕산동,계,1537,1533,960,562,1522,11,4
덕산동,관내사전투표,1537,1533,960,562,1522,11,4
웅동1동,계,1247,1245,782,444,1226,19,2
웅동1동,관내사전투표,1247,1245,782,444,1226,19,2
