읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김경수,국민의힘 박완수,계,무효 투표수,기권자수
합계,,33399,25658,8153,16086,24239,1419,7741
관외사전투표,,2935,2932,1375,1504,2879,53,3
합천읍,계,8297,6290,2267,3814,6081,209,2007
합천읍,관내사전투표,2989,2982,1343,1582,2925,57,7
합천읍,선거일투표,5308,3308,924,2232,3156,152,2000
봉산면,계,1124,780,202,538,740,40,344
봉산면,관내사전투표,338,338,102,222,324,14,0
봉산면,선거일투표,786,442,100,316,416,26,344
묘산면,계,1215,874,215,603,818,56,341
묘산면,관내사전투표,316,316,101,202,303,13,0
묘산면,선거일투표,899,558,114,401,515,43,341
가야면,계,3321,2430,730,1559,2289,141,891
가야면,관내사전투표,692,692,273,385,658,34,0
가야면,선거일투표,2629,1738,457,1174,1631,107,891
야로면,계,1881,1331,357,885,1242,89,550
야로면,관내사전투표,470,470,159,280,439,31,0
야로면,선거일투표,1411,861,198,605,803,58,550
율곡면,계,1738,1254,320,824,1144,110,484
율곡면,관내사전투표,574,573,173,354,527,46,1
율곡면,선거일투표,1164,681,147,470,617,64,483
초계면,계,1843,1404,382,910,1292,112,439
초계면,관내사전투표,543,543,179,320,499,44,0
초계면,선거일투표,1300,861,203,590,793,68,439
쌍책면,계,996,785,168,552,720,65,211
쌍책면,관내사전투표,242,242,77,146,223,19,0
쌍책면,선거일투표,754,543,91,406,497,46,211
덕곡면,계,684,516,96,384,480,36,168
덕곡면,관내사전투표,176,176,43,119,162,14,0
덕곡면,선거일투표,508,340,53,265,318,22,168
청덕면,계,1230,866,183,614,797,69,364
청덕면,관내사전투표,293,293,83,195,278,15,0
청덕면,선거일투표,937,573,100,419,519,54,364
적중면,계,1086,801,218,502,720,81,285
적중면,관내사전투표,282,282,98,163,261,21,0
적중면,선거일투표,804,519,120,339,459,60,285
대양면,계,1213,873,261,571,832,41,340
대양면,관내사전투표,296,295,115,173,288,7,1
대양면,선거일투표,917,578,146,398,544,34,339
쌍백면,계,1345,987,258,634,892,95,358
쌍백면,관내사전투표,406,406,123,248,371,35,0
쌍백면,선거일투표,939,581,135,386,521,60,358
삼가면,계,680,678,263,369,632,46,2
삼가면,관내사전투표,680,678,263,369,632,46,2
가회면,계,423,423,181,223,404,19,0
가회면,관내사전투표,423,423,181,223,404,19,0
대병면,계,1617,1157,303,777,1080,77,460
대병면,관내사전투표,499,499,173,303,476,23,0
대병면,선거일투표,1118,658,130,474,604,54,460
용주면,계,1771,1277,374,823,1197,80,494
용주면,관내사전투표,643,643,236,365,601,42,0
용주면,선거일투표,1128,634,138,458,596,38,494
