읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,27214,26338,8963,16653,25616,722,876
관외사전투표,,2279,2277,791,1439,2230,47,2
아포읍,계,1531,1531,448,1039,1487,44,0
아포읍,관내사전투표,1531,1531,448,1039,1487,44,0
농소면,계,606,606,220,362,582,24,0
농소면,관내사전투표,606,606,220,362,582,24,0
남면,계,535,535,109,403,512,23,0
남면,관내사전투표,535,535,109,403,512,23,0
개령면,계,462,459,112,323,435,24,3
개령면,관내사전투표,462,459,112,323,435,24,3
감문면,계,826,826,108,687,795,31,0
감문면,관내사전투표,826,826,108,687,795,31,0
어모면,계,714,714,188,495,683,31,0
어모면,관내사전투표,714,714,188,495,683,31,0
봉산면,계,599,599,142,438,580,19,0
봉산면,관내사전투표,599,599,142,438,580,19,0
대항면,계,2660,1802,326,1434,1760,42,858
대항면,관내사전투표,522,522,125,381,506,16,0
대항면,선거일투표,2138,1280,201,1053,1254,26,858
감천면,계,474,474,133,327,460,14,0
감천면,관내사전투표,474,474,133,327,460,14,0
조마면,계,514,514,102,393,495,19,0
조마면,관내사전투표,514,514,102,393,495,19,0
구성면,계,576,575,117,415,532,43,1
구성면,관내사전투표,576,575,117,415,532,43,1
지례면,계,387,386,90,274,364,22,1
지례면,관내사전투표,387,386,90,274,364,22,1
부항면,계,360,360,79,260,339,21,0
부항면,관내사전투표,360,360,79,260,339,21,0
대덕면,계,491,491,119,340,459,32,0
대덕면,관내사전투표,491,491,119,340,459,32,0
증산면,계,349,348,71,267,338,10,1
증산면,관내사전투표,349,348,71,267,338,10,1
자산동,계,938,937,254,660,914,23,1
자산동,관내사전투표,938,937,254,660,914,23,1
평화남산동,계,858,858,240,593,833,25,0
평화남산동,관내사전투표,858,858,240,593,833,25,0
양금동,계,612,611,157,438,595,16,1
양금동,관내사전투표,612,611,157,438,595,16,1
대신동,계,2872,2872,1120,1697,2817,55,0
대신동,관내사전투표,2872,2872,1120,1697,2817,55,0
대곡동,계,3512,3511,1284,2142,3426,85,1
대곡동,관내사전투표,3512,3511,1284,2142,3426,85,1
지좌동,계,1513,1510,475,1006,1481,29,3
지좌동,관내사전투표,1513,1510,475,1006,1481,29,3
율곡동,계,3546,3542,2278,1221,3499,43,4
율곡동,관내사전투표,3546,3542,2278,1221,3499,43,4
