읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,12107,11609,2766,8214,10980,629,498
거소투표,,264,248,53,182,235,13,16
문경읍,계,1381,1378,377,950,1327,51,3
문경읍,관내사전투표,1381,1378,377,950,1327,51,3
가은읍,계,1122,1121,287,740,1027,94,1
가은읍,관내사전투표,1122,1121,287,740,1027,94,1
영순면,계,1767,1297,205,1031,1236,61,470
영순면,관내사전투표,696,694,142,508,650,44,2
영순면,선거일투표,1071,603,63,523,586,17,468
산양면,계,830,830,166,611,777,53,0
산양면,관내사전투표,830,830,166,611,777,53,0
호계면,계,603,602,135,433,568,34,1
호계면,관내사전투표,603,602,135,433,568,34,1
산북면,계,741,737,177,504,681,56,4
산북면,관내사전투표,741,737,177,504,681,56,4
동로면,계,565,565,158,373,531,34,0
동로면,관내사전투표,565,565,158,373,531,34,0
마성면,계,884,884,173,633,806,78,0
마성면,관내사전투표,884,884,173,633,806,78,0
농암면,계,664,664,134,486,620,44,0
농암면,관내사전투표,664,664,134,486,620,44,0
점촌1동,계,1379,1377,345,987,1332,45,2
점촌1동,관내사전투표,1379,1377,345,987,1332,45,2
점촌2동,계,1350,1349,401,907,1308,41,1
점촌2동,관내사전투표,1350,1349,401,907,1308,41,1
점촌4동,계,557,557,155,377,532,25,0
점촌4동,관내사전투표,557,557,155,377,532,25,0
