읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,16903,13172,3731,8942,12673,499,3731
거소투표,,85,82,21,58,79,3,3
봉화읍,계,7303,5325,1503,3659,5162,163,1978
봉화읍,관내사전투표,2197,2196,793,1340,2133,63,1
봉화읍,선거일투표,5106,3129,710,2319,3029,100,1977
물야면,계,588,588,205,350,555,33,0
물야면,관내사전투표,588,588,205,350,555,33,0
봉성면,계,1606,1187,256,875,1131,56,419
봉성면,관내사전투표,517,517,130,358,488,29,0
봉성면,선거일투표,1089,670,126,517,643,27,419
법전면,계,357,357,125,212,337,20,0
법전면,관내사전투표,357,357,125,212,337,20,0
춘양면,계,3641,2797,735,1964,2699,98,844
춘양면,관내사전투표,883,883,313,543,856,27,0
춘양면,선거일투표,2758,1914,422,1421,1843,71,844
소천면,계,1770,1286,364,867,1231,55,484
소천면,관내사전투표,510,510,191,299,490,20,0
소천면,선거일투표,1260,776,173,568,741,35,484
석포면,계,479,479,171,286,457,22,0
석포면,관내사전투표,479,479,171,286,457,22,0
재산면,계,317,317,120,184,304,13,0
재산면,관내사전투표,317,317,120,184,304,13,0
명호면,계,400,398,142,241,383,15,2
명호면,관내사전투표,400,398,142,241,383,15,2
상운면,계,357,356,89,246,335,21,1
상운면,관내사전투표,357,356,89,246,335,21,1
