읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,13704,13698,4563,8595,13158,540,6
함창읍,계,1301,1301,357,874,1231,70,0
함창읍,관내사전투표,1301,1301,357,874,1231,70,0
사벌국면,계,757,757,152,551,703,54,0
사벌국면,관내사전투표,757,757,152,551,703,54,0
중동면,계,288,288,38,213,251,37,0
중동면,관내사전투표,288,288,38,213,251,37,0
낙동면,계,674,674,132,499,631,43,0
낙동면,관내사전투표,674,674,132,499,631,43,0
외남면,계,335,335,91,210,301,34,0
외남면,관내사전투표,335,335,91,210,301,34,0
내서면,계,366,366,124,229,353,13,0
내서면,관내사전투표,366,366,124,229,353,13,0
화동면,계,416,415,109,286,395,20,1
화동면,관내사전투표,416,415,109,286,395,20,1
화서면,계,497,497,148,325,473,24,0
화서면,관내사전투표,497,497,148,325,473,24,0
외서면,계,306,306,102,194,296,10,0
외서면,관내사전투표,306,306,102,194,296,10,0
은척면,계,283,283,78,204,282,1,0
은척면,관내사전투표,283,283,78,204,282,1,0
공검면,계,467,467,103,339,442,25,0
공검면,관내사전투표,467,467,103,339,442,25,0
화남면,계,134,134,39,88,127,7,0
화남면,관내사전투표,134,134,39,88,127,7,0
남원동,계,1937,1937,785,1110,1895,42,0
남원동,관내사전투표,1937,1937,785,1110,1895,42,0
북문동,계,1668,1666,664,965,1629,37,2
북문동,관내사전투표,1668,1666,664,965,1629,37,2
계림동,계,1630,1628,637,944,1581,47,2
계림동,관내사전투표,1630,1628,637,944,1581,47,2
동문동,계,1346,1346,493,805,1298,48,0
동문동,관내사전투표,1346,1346,493,805,1298,48,0
신흥동,계,1299,1298,511,759,1270,28,1
신흥동,관내사전투표,1299,1298,511,759,1270,28,1
