읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,17607,13774,3609,9602,13211,563,3833
거소투표,,132,119,25,88,113,6,13
영덕읍,계,8330,6066,1731,4133,5864,202,2264
영덕읍,관내사전투표,2904,2904,972,1835,2807,97,0
영덕읍,선거일투표,5426,3162,759,2298,3057,105,2264
강구면,계,1216,1216,308,863,1171,45,0
강구면,관내사전투표,1216,1216,308,863,1171,45,0
남정면,계,1976,1271,255,961,1216,55,705
남정면,관내사전투표,466,464,134,310,444,20,2
남정면,선거일투표,1510,807,121,651,772,35,703
달산면,계,943,671,154,493,647,24,272
달산면,관내사전투표,293,293,73,211,284,9,0
달산면,선거일투표,650,378,81,282,363,15,272
지품면,계,377,377,129,225,354,23,0
지품면,관내사전투표,377,377,129,225,354,23,0
축산면,계,2051,1472,288,1110,1398,74,579
축산면,관내사전투표,808,808,147,612,759,49,0
축산면,선거일투표,1243,664,141,498,639,25,579
영해면,계,1539,1539,467,1009,1476,63,0
영해면,관내사전투표,1539,1539,467,1009,1476,63,0
병곡면,계,644,644,139,454,593,51,0
병곡면,관내사전투표,644,644,139,454,593,51,0
창수면,계,399,399,113,266,379,20,0
창수면,관내사전투표,399,399,113,266,379,20,0
