읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,30914,22559,8226,13690,21916,643,8355
거소투표,,285,273,67,193,260,13,12
풍기읍,계,1854,1852,712,1047,1759,93,2
풍기읍,관내사전투표,1854,1852,712,1047,1759,93,2
이산면,계,1827,1225,312,880,1192,33,602
이산면,관내사전투표,427,427,152,257,409,18,0
이산면,선거일투표,1400,798,160,623,783,15,602
평은면,계,1226,856,184,644,828,28,370
평은면,관내사전투표,335,335,90,228,318,17,0
평은면,선거일투표,891,521,94,416,510,11,370
문수면,계,1563,1038,265,717,982,56,525
문수면,관내사전투표,421,421,119,271,390,31,0
문수면,선거일투표,1142,617,146,446,592,25,525
봉현면,계,372,372,131,227,358,14,0
봉현면,관내사전투표,372,372,131,227,358,14,0
순흥면,계,1278,818,139,654,793,25,460
순흥면,선거일투표,1278,818,139,654,793,25,460
단산면,계,232,232,69,143,212,20,0
단산면,관내사전투표,232,232,69,143,212,20,0
상망동,계,1105,1105,482,574,1056,49,0
상망동,관내사전투표,1105,1105,482,574,1056,49,0
영주1동,계,3034,1878,536,1288,1824,54,1156
영주1동,관내사전투표,568,568,247,303,550,18,0
영주1동,선거일투표,2466,1310,289,985,1274,36,1156
영주2동,계,884,883,382,478,860,23,1
영주2동,관내사전투표,884,883,382,478,860,23,1
휴천1동,계,862,861,403,442,845,16,1
휴천1동,관내사전투표,862,861,403,442,845,16,1
휴천2동,계,1455,1455,660,766,1426,29,0
휴천2동,관내사전투표,1455,1455,660,766,1426,29,0
휴천3동,계,5512,3462,1090,2300,3390,72,2050
휴천3동,관내사전투표,958,957,417,516,933,24,1
휴천3동,선거일투표,4554,2505,673,1784,2457,48,2049
가흥1동,계,2083,2082,1161,867,2028,54,1
가흥1동,관내사전투표,2083,2082,1161,867,2028,54,1
가흥2동,계,7342,4167,1633,2470,4103,64,3175
가흥2동,관내사전투표,1232,1231,674,539,1213,18,1
가흥2동,선거일투표,6110,2936,959,1931,2890,46,3174
