읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,9999,9970,3380,6198,9578,392,29
거소투표,,283,262,66,146,212,50,21
금호읍,계,1226,1225,371,809,1180,45,1
금호읍,관내사전투표,1226,1225,371,809,1180,45,1
청통면,계,630,630,175,429,604,26,0
청통면,관내사전투표,630,630,175,429,604,26,0
신녕면,계,756,755,174,546,720,35,1
신녕면,관내사전투표,756,755,174,546,720,35,1
자양면,계,138,138,44,85,129,9,0
자양면,관내사전투표,138,138,44,85,129,9,0
임고면,계,565,564,175,369,544,20,1
임고면,관내사전투표,565,564,175,369,544,20,1
고경면,계,535,535,182,333,515,20,0
고경면,관내사전투표,535,535,182,333,515,20,0
북안면,계,808,808,219,541,760,48,0
북안면,관내사전투표,808,808,219,541,760,48,0
대창면,계,553,552,154,381,535,17,1
대창면,관내사전투표,553,552,154,381,535,17,1
동부동,계,2124,2122,827,1247,2074,48,2
동부동,관내사전투표,2124,2122,827,1247,2074,48,2
중앙동,계,1690,1689,737,906,1643,46,1
중앙동,관내사전투표,1690,1689,737,906,1643,46,1
서부동,계,691,690,256,406,662,28,1
서부동,관내사전투표,691,690,256,406,662,28,1
