읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,8226,6804,2089,4487,6576,228,1422
거소투표,,39,35,3,29,32,3,4
관외사전투표,,1323,1322,515,777,1292,30,1
울릉읍,계,4751,3721,1150,2446,3596,125,1030
울릉읍,관내사전투표,1431,1431,542,845,1387,44,0
울릉읍,선거일투표,3320,2290,608,1601,2209,81,1030
서면,계,1090,913,221,656,877,36,177
서면,관내사전투표,301,301,98,194,292,9,0
서면,선거일투표,789,612,123,462,585,27,177
북면,계,1023,813,200,579,779,34,210
북면,관내사전투표,302,302,99,190,289,13,0
북면,선거일투표,721,511,101,389,490,21,210
