읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,13599,12649,3896,8308,12204,445,950
거소투표,,151,139,28,105,133,6,12
관외사전투표,,3319,3318,1214,2028,3242,76,1
청도읍,계,2036,2033,687,1288,1975,58,3
청도읍,관내사전투표,2036,2033,687,1288,1975,58,3
화양읍,계,1123,1123,416,678,1094,29,0
화양읍,관내사전투표,1123,1123,416,678,1094,29,0
각남면,계,601,600,171,394,565,35,1
각남면,관내사전투표,601,600,171,394,565,35,1
풍각면,계,1012,1012,267,702,969,43,0
풍각면,관내사전투표,1012,1012,267,702,969,43,0
각북면,계,1924,1293,245,1004,1249,44,631
각북면,관내사전투표,495,493,115,356,471,22,2
각북면,선거일투표,1429,800,130,648,778,22,629
이서면,계,871,870,273,560,833,37,1
이서면,관내사전투표,871,870,273,560,833,37,1
운문면,계,1251,951,206,702,908,43,300
운문면,관내사전투표,408,408,120,265,385,23,0
운문면,선거일투표,843,543,86,437,523,20,300
금천면,계,763,763,204,509,713,50,0
금천면,관내사전투표,763,763,204,509,713,50,0
매전면,계,548,547,185,338,523,24,1
매전면,관내사전투표,548,547,185,338,523,24,1
