읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,54828,40545,15741,23923,39664,881,14283
거소투표,,211,193,50,132,182,11,18
관외사전투표,,4584,4581,2215,2282,4497,84,3
구룡포읍,계,6093,3676,590,2943,3533,143,2417
구룡포읍,관내사전투표,1072,1072,226,780,1006,66,0
구룡포읍,선거일투표,5021,2604,364,2163,2527,77,2417
연일읍,계,2459,2459,1190,1220,2410,49,0
연일읍,관내사전투표,2459,2459,1190,1220,2410,49,0
오천읍,계,4747,4744,2626,2046,4672,72,3
오천읍,관내사전투표,4747,4744,2626,2046,4672,72,3
대송면,계,484,484,175,290,465,19,0
대송면,관내사전투표,484,484,175,290,465,19,0
동해면,계,7776,4523,1307,3095,4402,121,3253
동해면,관내사전투표,1346,1346,545,737,1282,64,0
동해면,선거일투표,6430,3177,762,2358,3120,57,3253
장기면,계,3238,1783,333,1377,1710,73,1455
장기면,관내사전투표,440,440,106,303,409,31,0
장기면,선거일투표,2798,1343,227,1074,1301,42,1455
호미곶면,계,382,382,76,289,365,17,0
호미곶면,관내사전투표,382,382,76,289,365,17,0
상대동,계,1974,1973,838,1092,1930,43,1
상대동,관내사전투표,1974,1973,838,1092,1930,43,1
해도동,계,1358,1358,538,795,1333,25,0
해도동,관내사전투표,1358,1358,538,795,1333,25,0
송도동,계,9741,5395,1266,4034,5300,95,4346
송도동,관내사전투표,1390,1390,461,894,1355,35,0
송도동,선거일투표,8351,4005,805,3140,3945,60,4346
청림동,계,3957,2065,581,1445,2026,39,1892
청림동,관내사전투표,438,438,178,247,425,13,0
청림동,선거일투표,3519,1627,403,1198,1601,26,1892
제철동,계,2000,1105,384,714,1098,7,895
제철동,관내사전투표,405,405,211,193,404,1,0
제철동,선거일투표,1595,700,173,521,694,6,895
효곡동,계,3154,3154,1975,1134,3109,45,0
효곡동,관내사전투표,3154,3154,1975,1134,3109,45,0
대이동,계,2670,2670,1597,1035,2632,38,0
대이동,관내사전투표,2670,2670,1597,1035,2632,38,0
