읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,17282,17275,8558,8332,16890,385,7
관외사전투표,,5119,5117,2534,2485,5019,98,2
신광면,계,469,468,161,297,458,10,1
신광면,관내사전투표,469,468,161,297,458,10,1
청하면,계,696,696,236,424,660,36,0
청하면,관내사전투표,696,696,236,424,660,36,0
송라면,계,440,439,97,287,384,55,1
송라면,관내사전투표,440,439,97,287,384,55,1
기계면,계,1009,1009,308,663,971,38,0
기계면,관내사전투표,1009,1009,308,663,971,38,0
죽장면,계,371,371,93,263,356,15,0
죽장면,관내사전투표,371,371,93,263,356,15,0
기북면,계,249,249,79,162,241,8,0
기북면,관내사전투표,249,249,79,162,241,8,0
양학동,계,2246,2246,1223,999,2222,24,0
양학동,관내사전투표,2246,2246,1223,999,2222,24,0
죽도동,계,1375,1374,521,816,1337,37,1
죽도동,관내사전투표,1375,1374,521,816,1337,37,1
장량동,계,4476,4475,2839,1594,4433,42,1
장량동,관내사전투표,4476,4475,2839,1594,4433,42,1
환여동,계,832,831,467,342,809,22,1
환여동,관내사전투표,832,831,467,342,809,22,1
