읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 민형배,국민의힘 이정현,진보당 이종욱,정의당 강은미,무소속 김광만,계,무효 투표수,기권자수
합계,,41037,23633,17856,3041,952,972,287,23108,525,17404
충장동,계,5223,1971,1395,345,54,105,30,1929,42,3252
충장동,관내사전투표,886,886,683,112,24,41,11,871,15,0
충장동,선거일투표,4337,1085,712,233,30,64,19,1058,27,3252
동명동,계,2981,1322,937,194,59,66,32,1288,34,1659
동명동,관내사전투표,676,676,515,60,33,34,16,658,18,0
동명동,선거일투표,2305,646,422,134,26,32,16,630,16,1659
계림1동,계,1555,1555,1285,104,53,68,8,1518,37,0
계림1동,관내사전투표,1555,1555,1285,104,53,68,8,1518,37,0
산수1동,계,5808,3069,2329,413,116,113,40,3011,58,2739
산수1동,관내사전투표,1496,1496,1184,149,58,59,20,1470,26,0
산수1동,선거일투표,4312,1573,1145,264,58,54,20,1541,32,2739
산수2동,계,7316,4228,3167,549,183,161,56,4116,112,3088
산수2동,관내사전투표,1815,1815,1465,163,84,54,14,1780,35,0
산수2동,선거일투표,5501,2413,1702,386,99,107,42,2336,77,3088
지산1동,계,779,779,600,87,36,34,5,762,17,0
지산1동,관내사전투표,779,779,600,87,36,34,5,762,17,0
지산2동,계,3268,1587,1184,239,56,56,15,1550,37,1681
지산2동,관내사전투표,751,749,618,69,24,17,5,733,16,2
지산2동,선거일투표,2517,838,566,170,32,39,10,817,21,1679
서남동,계,732,732,558,79,28,39,7,711,21,0
서남동,관내사전투표,732,732,558,79,28,39,7,711,21,0
학동,계,3885,1799,1225,345,83,68,33,1754,45,2086
학동,선거일투표,3885,1799,1225,345,83,68,33,1754,45,2086
지원1동,계,6797,3899,3008,461,171,149,38,3827,72,2898
지원1동,관내사전투표,2148,2148,1733,192,93,85,18,2121,27,0
지원1동,선거일투표,4649,1751,1275,269,78,64,20,1706,45,2898
지원2동,계,2693,2692,2168,225,113,113,23,2642,50,1
지원2동,관내사전투표,2693,2692,2168,225,113,113,23,2642,50,1
