읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김부겸,국민의힘 추경호,개혁신당 이수찬,계,무효 투표수,기권자수
합계,,7943,7939,4595,3137,85,7817,122,4
봉덕1동,계,931,930,499,403,11,913,17,1
봉덕1동,관내사전투표,931,930,499,403,11,913,17,1
봉덕3동,계,1690,1689,953,694,16,1663,26,1
봉덕3동,관내사전투표,1690,1689,953,694,16,1663,26,1
대명1동,계,1141,1140,657,458,11,1126,14,1
대명1동,관내사전투표,1141,1140,657,458,11,1126,14,1
대명2동,계,1381,1381,883,456,22,1361,20,0
대명2동,관내사전투표,1381,1381,883,456,22,1361,20,0
대명3동,계,1160,1159,631,493,10,1134,25,1
대명3동,관내사전투표,1160,1159,631,493,10,1134,25,1
대명9동,계,1640,1640,972,633,15,1620,20,0
대명9동,관내사전투표,1640,1640,972,633,15,1620,20,0
