읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김부겸,국민의힘 추경호,개혁신당 이수찬,계,무효 투표수,기권자수
합계,,22305,12443,4165,8018,114,12297,146,9862
화원읍,계,4481,2711,815,1835,33,2683,28,1770
화원읍,선거일투표,4481,2711,815,1835,33,2683,28,1770
논공읍,계,5677,2940,1036,1827,37,2900,40,2737
논공읍,선거일투표,5677,2940,1036,1827,37,2900,40,2737
다사읍,계,6257,3450,1513,1889,26,3428,22,2807
다사읍,선거일투표,6257,3450,1513,1889,26,3428,22,2807
옥포읍,계,2189,1277,372,876,9,1257,20,912
옥포읍,선거일투표,2189,1277,372,876,9,1257,20,912
현풍읍,계,1059,548,110,427,3,540,8,511
현풍읍,선거일투표,1059,548,110,427,3,540,8,511
가창면,계,942,523,116,400,2,518,5,419
가창면,선거일투표,942,523,116,400,2,518,5,419
하빈면,계,1229,700,141,543,2,686,14,529
하빈면,선거일투표,1229,700,141,543,2,686,14,529
구지면,계,471,294,62,221,2,285,9,177
구지면,선거일투표,471,294,62,221,2,285,9,177
