읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김부겸,국민의힘 추경호,개혁신당 이수찬,계,무효 투표수,기권자수
합계,,6157,6155,3671,2354,68,6093,62,2
신암4동,계,2059,2058,1248,769,23,2040,18,1
신암4동,관내사전투표,2059,2058,1248,769,23,2040,18,1
신암5동,계,1217,1217,684,508,13,1205,12,0
신암5동,관내사전투표,1217,1217,684,508,13,1205,12,0
신천4동,계,1457,1456,944,485,16,1445,11,1
신천4동,관내사전투표,1457,1456,944,485,16,1445,11,1
효목1동,계,860,860,465,376,11,852,8,0
효목1동,관내사전투표,860,860,465,376,11,852,8,0
도평동,계,564,564,330,216,5,551,13,0
도평동,관내사전투표,564,564,330,216,5,551,13,0
