읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김부겸,국민의힘 추경호,개혁신당 이수찬,계,무효 투표수,기권자수
합계,,13287,13284,7216,5786,110,13112,172,3
내당1동,계,2041,2040,1287,726,16,2029,11,1
내당1동,관내사전투표,2041,2040,1287,726,16,2029,11,1
내당2·3동,계,764,764,374,367,8,749,15,0
내당2·3동,관내사전투표,764,764,374,367,8,749,15,0
비산2·3동,계,807,807,352,428,6,786,21,0
비산2·3동,관내사전투표,807,807,352,428,6,786,21,0
비산4동,계,804,803,414,372,4,790,13,1
비산4동,관내사전투표,804,803,414,372,4,790,13,1
비산5동,계,861,861,351,478,7,836,25,0
비산5동,관내사전투표,861,861,351,478,7,836,25,0
비산6동,계,1017,1017,490,502,7,999,18,0
비산6동,관내사전투표,1017,1017,490,502,7,999,18,0
비산7동,계,719,719,331,370,7,708,11,0
비산7동,관내사전투표,719,719,331,370,7,708,11,0
평리1동,계,822,822,368,432,7,807,15,0
평리1동,관내사전투표,822,822,368,432,7,807,15,0
평리2동,계,1148,1148,640,488,8,1136,12,0
평리2동,관내사전투표,1148,1148,640,488,8,1136,12,0
평리3동,계,1377,1376,775,576,11,1362,14,1
평리3동,관내사전투표,1377,1376,775,576,11,1362,14,1
평리4동,계,1646,1646,935,684,17,1636,10,0
평리4동,관내사전투표,1646,1646,935,684,17,1636,10,0
평리5동,계,1281,1281,899,363,12,1274,7,0
평리5동,관내사전투표,1281,1281,899,363,12,1274,7,0
