읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 허태정,국민의힘 이장우,개혁신당 강희린,계,무효 투표수,기권자수
합계,,129976,79089,42288,33937,1695,77920,1169,50887
거소투표,,233,219,94,97,20,211,8,14
관외사전투표,,8230,8229,5403,2492,230,8125,104,1
오정동,계,11093,5793,2719,2914,101,5734,59,5300
오정동,관내사전투표,1386,1386,925,424,24,1373,13,0
오정동,선거일투표,9707,4407,1794,2490,77,4361,46,5300
대화동,계,4743,2541,1252,1164,64,2480,61,2202
대화동,관내사전투표,882,881,584,267,17,868,13,1
대화동,선거일투표,3861,1660,668,897,47,1612,48,2201
회덕동,계,10067,6124,2962,2958,101,6021,103,3943
회덕동,관내사전투표,1240,1240,806,399,19,1224,16,0
회덕동,선거일투표,8827,4884,2156,2559,82,4797,87,3943
비래동,계,12569,7305,3831,3257,107,7195,110,5264
비래동,관내사전투표,2418,2415,1701,657,32,2390,25,3
비래동,선거일투표,10151,4890,2130,2600,75,4805,85,5261
송촌동,계,4161,4160,2975,1082,68,4125,35,1
송촌동,관내사전투표,4161,4160,2975,1082,68,4125,35,1
중리동,계,14975,7461,3699,3492,154,7345,116,7514
중리동,관내사전투표,1847,1847,1264,527,37,1828,19,0
중리동,선거일투표,13128,5614,2435,2965,117,5517,97,7514
법1동,계,10207,6222,3208,2765,123,6096,126,3985
법1동,관내사전투표,2120,2118,1457,589,34,2080,38,2
법1동,선거일투표,8087,4104,1751,2176,89,4016,88,3983
법2동,계,12104,7692,3803,3602,169,7574,118,4412
법2동,관내사전투표,2360,2359,1542,722,59,2323,36,1
법2동,선거일투표,9744,5333,2261,2880,110,5251,82,4411
신탄진동,계,13326,7743,3841,3600,187,7628,115,5583
신탄진동,관내사전투표,2439,2433,1585,766,47,2398,35,6
신탄진동,선거일투표,10887,5310,2256,2834,140,5230,80,5577
석봉동,계,12400,7259,4075,2933,183,7191,68,5141
석봉동,관내사전투표,2491,2488,1776,633,55,2464,24,3
석봉동,선거일투표,9909,4771,2299,2300,128,4727,44,5138
덕암동,계,10753,5686,2921,2523,130,5574,112,5067
덕암동,관내사전투표,1880,1879,1288,522,38,1848,31,1
덕암동,선거일투표,8873,3807,1633,2001,92,3726,81,5066
목상동,계,5115,2655,1505,1058,58,2621,34,2460
목상동,관내사전투표,1110,1110,755,314,22,1091,19,0
목상동,선거일투표,4005,1545,750,744,36,1530,15,2460
