읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 허태정,국민의힘 이장우,개혁신당 강희린,계,무효 투표수,기권자수
합계,,59469,41288,22937,16922,706,40565,723,18181
중앙동,계,3056,1640,710,863,24,1597,43,1416
중앙동,관내사전투표,625,625,384,221,10,615,10,0
중앙동,선거일투표,2431,1015,326,642,14,982,33,1416
신인동,계,1266,1265,801,423,19,1243,22,1
신인동,관내사전투표,1266,1265,801,423,19,1243,22,1
판암1동,계,9891,5813,2840,2741,118,5699,114,4078
판암1동,관내사전투표,2020,2020,1331,623,35,1989,31,0
판암1동,선거일투표,7871,3793,1509,2118,83,3710,83,4078
판암2동,계,7206,4210,1974,2074,65,4113,97,2996
판암2동,관내사전투표,1703,1702,1040,585,28,1653,49,1
판암2동,선거일투표,5503,2508,934,1489,37,2460,48,2995
용운동,계,2791,2790,1902,822,37,2761,29,1
용운동,관내사전투표,2791,2790,1902,822,37,2761,29,1
대동,계,2566,2564,1684,772,62,2518,46,2
대동,관내사전투표,2566,2564,1684,772,62,2518,46,2
자양동,계,1519,1518,961,493,30,1484,34,1
자양동,관내사전투표,1519,1518,961,493,30,1484,34,1
가양1동,계,2391,2391,1592,741,30,2363,28,0
가양1동,관내사전투표,2391,2391,1592,741,30,2363,28,0
가양2동,계,1964,1961,1343,563,31,1937,24,3
가양2동,관내사전투표,1964,1961,1343,563,31,1937,24,3
용전동,계,2246,2246,1518,658,41,2217,29,0
용전동,관내사전투표,2246,2246,1518,658,41,2217,29,0
홍도동,계,9367,4770,2291,2313,86,4690,80,4597
홍도동,관내사전투표,1491,1487,977,466,21,1464,23,4
홍도동,선거일투표,7876,3283,1314,1847,65,3226,57,4593
삼성동,계,10458,6069,2854,2984,109,5947,122,4389
삼성동,관내사전투표,1625,1624,1062,500,27,1589,35,1
삼성동,선거일투표,8833,4445,1792,2484,82,4358,87,4388
대청동,계,1776,1080,380,661,14,1055,25,696
대청동,관내사전투표,263,263,146,105,4,255,8,0
대청동,선거일투표,1513,817,234,556,10,800,17,696
산내동,계,2972,2971,2087,814,40,2941,30,1
산내동,관내사전투표,2972,2971,2087,814,40,2941,30,1
