읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 전재수,국민의힘 박형준,개혁신당 정이한,계,무효 투표수,기권자수
합계,,31985,24562,12398,11481,372,24251,311,7423
관외사전투표,,1818,1817,1108,653,35,1796,21,1
서제1동,계,3696,2081,828,1183,31,2042,39,1615
서제1동,관내사전투표,664,664,386,265,5,656,8,0
서제1동,선거일투표,3032,1417,442,918,26,1386,31,1615
서제2동,계,1192,1192,644,519,11,1174,18,0
서제2동,관내사전투표,1192,1192,644,519,11,1174,18,0
서제3동,계,1746,1745,895,802,25,1722,23,1
서제3동,관내사전투표,1746,1745,895,802,25,1722,23,1
금사회동동,계,6100,3574,1416,2047,58,3521,53,2526
금사회동동,관내사전투표,1337,1335,759,535,17,1311,24,2
금사회동동,선거일투표,4763,2239,657,1512,41,2210,29,2524
부곡제1동,계,6217,3733,1480,2148,58,3686,47,2484
부곡제1동,관내사전투표,1275,1273,730,510,15,1255,18,2
부곡제1동,선거일투표,4942,2460,750,1638,43,2431,29,2482
부곡제2동,계,2306,2305,1516,740,33,2289,16,1
부곡제2동,관내사전투표,2306,2305,1516,740,33,2289,16,1
부곡제3동,계,2564,2563,1662,841,48,2551,12,1
부곡제3동,관내사전투표,2564,2563,1662,841,48,2551,12,1
부곡제4동,계,2172,2170,1252,846,37,2135,35,2
부곡제4동,관내사전투표,2172,2170,1252,846,37,2135,35,2
선두구동,계,1769,1192,392,769,11,1172,20,577
선두구동,관내사전투표,370,370,218,146,3,367,3,0
선두구동,선거일투표,1399,822,174,623,8,805,17,577
청룡노포동,계,1684,1682,1002,639,19,1660,22,2
청룡노포동,관내사전투표,1684,1682,1002,639,19,1660,22,2
금성동,계,721,508,203,294,6,503,5,213
금성동,관내사전투표,163,163,87,72,3,162,1,0
금성동,선거일투표,558,345,116,222,3,341,4,213
