읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 전재수,국민의힘 박형준,개혁신당 정이한,계,무효 투표수,기권자수
합계,,89438,47391,21903,24188,686,46777,614,42047
기장읍,계,28852,14096,5085,8592,186,13863,233,14756
기장읍,선거일투표,28852,14096,5085,8592,186,13863,233,14756
장안읍,계,4561,2929,1102,1745,47,2894,35,1632
장안읍,관내사전투표,1064,1064,622,419,15,1056,8,0
장안읍,선거일투표,3497,1865,480,1326,32,1838,27,1632
정관읍,계,37127,18735,10105,8101,280,18486,249,18392
정관읍,선거일투표,37127,18735,10105,8101,280,18486,249,18392
일광읍,계,14743,9328,4733,4374,146,9253,75,5415
일광읍,관내사전투표,3331,3329,2169,1081,43,3293,36,2
일광읍,선거일투표,11412,5999,2564,3293,103,5960,39,5413
철마면,계,4155,2303,878,1376,27,2281,22,1852
철마면,선거일투표,4155,2303,878,1376,27,2281,22,1852
