읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 전재수,국민의힘 박형준,개혁신당 정이한,계,무효 투표수,기권자수
합계,,159808,101501,50693,47907,1496,100096,1405,58307
거소투표,,384,360,159,170,13,342,18,24
관외사전투표,,7289,7278,4840,2207,164,7211,67,11
대연제1동,계,13566,6949,3039,3693,115,6847,102,6617
대연제1동,관내사전투표,2241,2240,1477,708,24,2209,31,1
대연제1동,선거일투표,11325,4709,1562,2985,91,4638,71,6616
대연제4동,계,10623,6580,3228,3194,62,6484,96,4043
대연제4동,관내사전투표,1580,1580,1013,545,7,1565,15,0
대연제4동,선거일투표,9043,5000,2215,2649,55,4919,81,4043
대연제5동,계,13329,7739,3692,3850,125,7667,72,5590
대연제5동,관내사전투표,2502,2500,1673,771,32,2476,24,2
대연제5동,선거일투표,10827,5239,2019,3079,93,5191,48,5588
대연제6동,계,12127,8006,4152,3652,127,7931,75,4121
대연제6동,관내사전투표,2551,2550,1790,708,31,2529,21,1
대연제6동,선거일투표,9576,5456,2362,2944,96,5402,54,4120
용호제1동,계,2402,2401,1465,862,29,2356,45,1
용호제1동,관내사전투표,2402,2401,1465,862,29,2356,45,1
용호제2동,계,15326,9559,4662,4673,117,9452,107,5767
용호제2동,관내사전투표,2344,2343,1524,757,30,2311,32,1
용호제2동,선거일투표,12982,7216,3138,3916,87,7141,75,5766
용호제3동,계,10975,7485,3881,3379,90,7350,135,3490
용호제3동,관내사전투표,3836,3835,2597,1148,41,3786,49,1
용호제3동,선거일투표,7139,3650,1284,2231,49,3564,86,3489
용호제4동,계,6746,4143,2076,1934,58,4068,75,2603
용호제4동,관내사전투표,1705,1705,1127,528,23,1678,27,0
용호제4동,선거일투표,5041,2438,949,1406,35,2390,48,2603
용당동,계,6124,3853,1839,1912,44,3795,58,2271
용당동,관내사전투표,917,917,672,231,11,914,3,0
용당동,선거일투표,5207,2936,1167,1681,33,2881,55,2271
감만제1동,계,6315,3883,1955,1832,46,3833,50,2432
감만제1동,관내사전투표,1047,1047,714,316,9,1039,8,0
감만제1동,선거일투표,5268,2836,1241,1516,37,2794,42,2432
감만제2동,계,5430,3293,1446,1726,50,3222,71,2137
감만제2동,관내사전투표,1190,1190,708,452,18,1178,12,0
감만제2동,선거일투표,4240,2103,738,1274,32,2044,59,2137
우암동,계,13579,8633,4294,4104,98,8496,137,4946
우암동,관내사전투표,1982,1982,1330,622,10,1962,20,0
우암동,선거일투표,11597,6651,2964,3482,88,6534,117,4946
문현제1동,계,8810,5397,2530,2698,82,5310,87,3413
문현제1동,관내사전투표,2047,2046,1283,713,31,2027,19,1
문현제1동,선거일투표,6763,3351,1247,1985,51,3283,68,3412
문현제2동,계,6874,3669,1629,1911,69,3609,60,3205
문현제2동,관내사전투표,1136,1135,731,374,19,1124,11,1
문현제2동,선거일투표,5738,2534,898,1537,50,2485,49,3204
문현제3동,계,12647,7833,3860,3772,128,7760,73,4814
문현제3동,관내사전투표,2276,2275,1527,693,43,2263,12,1
문현제3동,선거일투표,10371,5558,2333,3079,85,5497,61,4813
문현제4동,계,7262,4440,1946,2338,79,4363,77,2822
문현제4동,관내사전투표,1363,1362,901,429,18,1348,14,1
문현제4동,선거일투표,5899,3078,1045,1909,61,3015,63,2821
