읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 전재수,국민의힘 박형준,개혁신당 정이한,계,무효 투표수,기권자수
합계,,76687,46948,23023,22483,692,46198,750,29739
관외사전투표,,4754,4754,3185,1402,94,4681,73,0
초량제1동,계,4228,2190,1053,1067,35,2155,35,2038
초량제1동,관내사전투표,767,764,500,246,12,758,6,3
초량제1동,선거일투표,3461,1426,553,821,23,1397,29,2035
초량제2동,계,4496,2545,1081,1378,27,2486,59,1951
초량제2동,관내사전투표,970,970,580,365,5,950,20,0
초량제2동,선거일투표,3526,1575,501,1013,22,1536,39,1951
초량제3동,계,10389,6145,3546,2467,86,6099,46,4244
초량제3동,관내사전투표,2181,2175,1571,568,21,2160,15,6
초량제3동,선거일투표,8208,3970,1975,1899,65,3939,31,4238
초량제6동,계,4348,2545,1012,1446,34,2492,53,1803
초량제6동,관내사전투표,910,909,463,420,8,891,18,1
초량제6동,선거일투표,3438,1636,549,1026,26,1601,35,1802
수정제1동,계,3527,2182,990,1122,34,2146,36,1345
수정제1동,관내사전투표,987,986,558,397,15,970,16,1
수정제1동,선거일투표,2540,1196,432,725,19,1176,20,1344
수정제2동,계,7581,4667,2205,2313,65,4583,84,2914
수정제2동,관내사전투표,1746,1745,1097,599,28,1724,21,1
수정제2동,선거일투표,5835,2922,1108,1714,37,2859,63,2913
수정제4동,계,2805,1659,664,924,27,1615,44,1146
수정제4동,관내사전투표,606,606,342,230,12,584,22,0
수정제4동,선거일투표,2199,1053,322,694,15,1031,22,1146
수정제5동,계,3865,2331,959,1291,31,2281,50,1534
수정제5동,관내사전투표,940,938,551,359,9,919,19,2
수정제5동,선거일투표,2925,1393,408,932,22,1362,31,1532
좌천동,계,9148,5382,2443,2758,80,5281,101,3766
좌천동,관내사전투표,1814,1814,1122,643,21,1786,28,0
좌천동,선거일투표,7334,3568,1321,2115,59,3495,73,3766
범일제1동,계,8900,5064,2056,2839,79,4974,90,3836
범일제1동,관내사전투표,1291,1289,721,522,21,1264,25,2
범일제1동,선거일투표,7609,3775,1335,2317,58,3710,65,3834
범일제2동,계,6030,3750,1870,1803,41,3714,36,2280
범일제2동,관내사전투표,1342,1341,925,395,13,1333,8,1
범일제2동,선거일투표,4688,2409,945,1408,28,2381,28,2279
범일제5동,계,6616,3734,1959,1673,59,3691,43,2882
범일제5동,관내사전투표,820,820,557,232,18,807,13,0
범일제5동,선거일투표,5796,2914,1402,1441,41,2884,30,2882
