읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 전재수,국민의힘 박형준,개혁신당 정이한,계,무효 투표수,기권자수
합계,,112466,54467,25977,26730,1001,53708,759,57999
관외사전투표,,22088,3167,2099,973,67,3139,28,18921
부전제2동,계,916,916,609,271,26,906,10,0
부전제2동,관내사전투표,916,916,609,271,26,906,10,0
양정제2동,계,1703,1703,1232,432,27,1691,12,0
양정제2동,관내사전투표,1703,1703,1232,432,27,1691,12,0
당감제1동,계,14610,7899,3287,4367,132,7786,113,6711
당감제1동,선거일투표,14610,7899,3287,4367,132,7786,113,6711
당감제2동,계,9325,5903,2858,2853,111,5822,81,3422
당감제2동,관내사전투표,1370,1370,882,458,21,1361,9,0
당감제2동,선거일투표,7955,4533,1976,2395,90,4461,72,3422
가야제1동,계,13876,7484,3349,3866,138,7353,131,6392
가야제1동,관내사전투표,2288,2288,1409,810,36,2255,33,0
가야제1동,선거일투표,11588,5196,1940,3056,102,5098,98,6392
가야제2동,계,2439,2438,1597,781,45,2423,15,1
가야제2동,관내사전투표,2439,2438,1597,781,45,2423,15,1
개금제1동,계,12791,5943,2555,3187,128,5870,73,6848
개금제1동,선거일투표,12791,5943,2555,3187,128,5870,73,6848
개금제3동,계,18231,10281,4309,5648,164,10121,160,7950
개금제3동,선거일투표,18231,10281,4309,5648,164,10121,160,7950
범천제1동,계,1414,1414,969,403,29,1401,13,0
범천제1동,관내사전투표,1414,1414,969,403,29,1401,13,0
범천제2동,계,15073,7319,3113,3949,134,7196,123,7754
범천제2동,선거일투표,15073,7319,3113,3949,134,7196,123,7754
